TYPE,IDENT,LAT,LONG,Y_PROJ,X_PROJ,ALTITUDE
WAYPOINT,17300,10.62971226,-4.55759942,1175464.328,329613.3189,291.00
WAYPOINT,17301,10.62991326,-4.55781709,1175486.679,329589.6139,290.00
WAYPOINT,17302,10.63001149,-4.55756824,1175497.407,329616.8965,291.00
WAYPOINT,17303,10.63019514,-4.55778818,1175517.841,329592.9335,290.00
WAYPOINT,17304,10.63000688,-4.55792564,1175497.094,329577.7888,290.00
WAYPOINT,17305,10.63000889,-4.55815472,1175497.442,329552.7249,290.00
WAYPOINT,17306,10.62996824,-4.55833367,1175493.044,329533.1224,290.00
WAYPOINT,17307,10.63019506,-4.55805304,1175517.977,329563.9536,290.00
WAYPOINT,17308,10.63017243,-4.5581719,1175515.54,329550.9359,289.00
WAYPOINT,17309,10.63027561,-4.55858404,1175527.178,329505.8986,287.00
WAYPOINT,17310,10.63047132,-4.55858052,1175548.823,329506.3924,288.00
WAYPOINT,17311,10.63066805,-4.558578,1175570.581,329506.7774,288.00
WAYPOINT,17312,10.63047493,-4.55824767,1175549.04,329542.8134,289.00
WAYPOINT,17313,10.63047996,-4.55760797,1175549.245,329612.8094,291.00
WAYPOINT,17314,10.63069311,-4.5575995,1175572.816,329613.8544,291.00
WAYPOINT,17315,10.63091515,-4.55781944,1175597.495,329589.9127,292.00
WAYPOINT,17316,10.63068364,-4.55777544,1175571.865,329594.5986,292.00
WAYPOINT,17317,10.6308662,-4.55801742,1175592.19,329568.2235,289.00
WAYPOINT,17318,10.63085094,-4.55815899,1175590.58,329552.7251,289.00
WAYPOINT,17319,10.63102654,-4.5584532,1175610.164,329520.6314,288.00
WAYPOINT,17320,10.63105169,-4.55863726,1175613.047,329500.5064,289.00
WAYPOINT,17321,10.6313935,-4.55863039,1175650.849,329501.4479,288.00
WAYPOINT,17322,10.63163842,-4.55874765,1175678.003,329488.7538,289.00
WAYPOINT,17323,10.63192282,-4.55879929,1175709.488,329483.2616,289.00
WAYPOINT,17324,10.63182349,-4.55841422,1175698.29,329525.3389,289.00
WAYPOINT,17325,10.63138084,-4.55844012,1175649.344,329522.2593,290.00
WAYPOINT,17326,10.63147766,-4.55793343,1175659.775,329577.7527,290.00
WAYPOINT,17327,10.63143667,-4.55808272,1175655.323,329561.3953,290.00
WAYPOINT,17328,10.6308812,-4.55825446,1175593.979,329542.296,290.00
WAYPOINT,17329,10.63109159,-4.55799705,1175617.108,329570.5774,291.00
WAYPOINT,17330,10.63151009,-4.55794131,1175663.366,329576.9085,291.00
WAYPOINT,17331,10.63126987,-4.55780326,1175636.721,329591.8799,291.00
WAYPOINT,17332,10.631437,-4.55763269,1175655.113,329610.6356,292.00
WAYPOINT,17333,10.63180405,-4.55775037,1175695.775,329597.9633,292.00
WAYPOINT,17334,10.63198769,-4.55817374,1175716.32,329551.7422,291.00
WAYPOINT,17335,10.63215869,-4.55782615,1175735.042,329589.8687,292.00
WAYPOINT,17336,10.63234242,-4.55823351,1175755.588,329545.3994,292.00
WAYPOINT,17337,10.63249111,-4.55813024,1175771.977,329556.7812,292.00
WAYPOINT,17338,10.63239045,-4.55825522,1175760.912,329543.0506,293.00
WAYPOINT,17339,10.63204695,-4.5583092,1175722.949,329536.9537,292.00
WAYPOINT,17340,10.63215877,-4.55851774,1175735.431,329514.1984,291.00
WAYPOINT,17341,10.63214905,-4.55873609,1175734.476,329490.3022,290.00
WAYPOINT,17342,10.63227461,-4.55896164,1175748.488,329465.6934,292.00
WAYPOINT,17343,10.63236832,-4.55889987,1175758.818,329472.504,292.00
WAYPOINT,17344,10.63265087,-4.55858136,1175789.895,329507.5107,293.00
WAYPOINT,17345,10.63273888,-4.55819294,1175799.416,329550.0584,294.00
WAYPOINT,17346,10.63291649,-4.5585376,1175819.25,329512.4462,293.00
WAYPOINT,17347,10.63312177,-4.5588225,1175842.112,329481.3879,295.00
WAYPOINT,17348,10.633205,-4.55895921,1175851.393,329466.476,294.00
WAYPOINT,17349,10.63347967,-4.55906776,1175881.833,329454.7517,292.00
WAYPOINT,17350,10.63357598,-4.55935509,1175892.643,329423.3671,293.00
WAYPOINT,17351,10.6337251,-4.55908427,1175908.988,329453.0816,295.00
WAYPOINT,17352,10.63401377,-4.55906893,1175940.908,329454.9203,295.00
WAYPOINT,17353,10.63415232,-4.55914118,1175956.273,329447.0921,295.00
WAYPOINT,17354,10.63438928,-4.55931595,1175982.578,329428.1014,295.00
WAYPOINT,17355,10.63438031,-4.55892527,1175981.371,329470.8424,296.00
WAYPOINT,17356,10.63493209,-4.55890699,1176042.391,329473.149,300.00
WAYPOINT,17357,10.63455331,-4.55844297,1176000.241,329523.709,298.00
WAYPOINT,17358,10.63442012,-4.55843987,1175985.508,329523.9742,298.00
WAYPOINT,17359,10.63407512,-4.55848413,1175947.373,329518.9399,299.00
WAYPOINT,17360,10.63386558,-4.55842881,1175924.166,329524.8764,300.00
WAYPOINT,17361,10.633709,-4.55848907,1175906.88,329518.1961,299.00
WAYPOINT,17362,10.63357548,-4.55838648,1175892.056,329529.3468,298.00
WAYPOINT,17363,10.63383892,-4.55814784,1175921.063,329555.6038,298.00
WAYPOINT,17364,10.63389106,-4.55814944,1175926.831,329555.4576,300.00
WAYPOINT,17365,10.63478557,-4.55753588,1176025.432,329623.0864,299.00
WAYPOINT,17366,10.63432306,-4.55763143,1175974.328,329612.3751,299.00
WAYPOINT,17367,10.63429255,-4.55740957,1175970.832,329636.6329,299.00
WAYPOINT,17368,10.63411544,-4.55753798,1175951.313,329622.4847,300.00
