univill,lat,longitude,y_proj,x_proj,altitude
2,10.67323875,-4.404768944,1180198.608,346356.6884,302
2,10.66147709,-4.417242527,1178903.913,344986.1616,301
2,10.66279411,-4.416097164,1179049.06,345112.1314,306
2,10.67345715,-4.403965473,1180222.293,346444.658,304
2,10.66264915,-4.419075489,1179034.505,344786.2348,307
2,10.67164135,-4.409199238,1180024.102,345871.2151,298
2,10.66274166,-4.416244507,1179043.293,345095.985,307
2,10.66096306,-4.420251846,1178848.575,344656.6926,297
2,10.66685486,-4.415459156,1179497.797,345184.0111,294
2,10.66182613,-4.418419361,1178943.132,344857.588,305
2,10.6603241,-4.41867733,1178777.099,344828.6393,295
2,10.66111183,-4.418549061,1178864.242,344843.0866,303
2,10.67416763,-4.403954506,1180300.937,346446.2337,305
2,10.66420841,-4.419625759,1179207.266,344726.8275,306
2,10.66037464,-4.419393539,1178783.075,344750.3105,294
2,10.66687965,-4.414371967,1179499.988,345302.9337,298
2,10.67381287,-4.404224873,1180261.793,346416.458,304
2,10.66212463,-4.416775703,1178975.311,345037.6012,305
2,10.66118336,-4.417435646,1178871.563,344964.9233,298
2,10.66012287,-4.42303133,1178757.073,344352.2181,302
2,10.67312908,-4.404289722,1180186.161,346409.0531,306
2,10.67337894,-4.404212952,1180213.785,346417.5692,312
2,10.67314053,-4.405223846,1180187.923,346306.8682,304
2,10.66004181,-4.423370361,1178748.307,344315.0853,300
2,10.67258167,-4.410731316,1180128.898,345704.0848,293
2,10.6726675,-4.405608654,1180135.765,346264.5347,304
2,10.66153049,-4.421538353,1178911.991,344516.2354,302
2,10.67388153,-4.403729916,1180269.158,346470.6453,301
2,10.66423702,-4.416962624,1179209.065,345018.1859,309
2,10.67403984,-4.404057503,1180286.842,346434.8735,302
2,10.66670322,-4.414922237,1179480.805,345242.6562,302
2,10.67452145,-4.40387249,1180340.035,346455.3979,310
2,10.66235352,-4.417574883,1179001.019,344950.2393,321
2,10.66685867,-4.415257931,1179498.132,345206.029,299
2,10.67403984,-4.404057503,1180286.842,346434.8735,302
2,10.67409897,-4.403468609,1180293.048,346499.3256,307
2,10.66130257,-4.418606758,1178885.351,344836.8381,301
2,10.66653538,-4.414513588,1179462.069,345287.2543,297
2,10.67132378,-4.416560173,1179992.682,345065.815,293
2,10.66279507,-4.418842316,1179050.501,344811.8366,306
2,10.67056751,-4.410639286,1179906.01,345713.1274,298
2,10.66517258,-4.415957451,1179312.046,345128.6481,301
2,10.67434597,-4.403154373,1180320.221,346533.8339,308
2,10.66507912,-4.419584274,1179303.472,344731.8438,305
2,10.66156197,-4.422415733,1178915.899,344420.273,303
2,10.66154003,-4.416527748,1178910.591,345064.4111,305
2,10.66034603,-4.419167042,1178779.792,344775.0813,301
2,10.66666794,-4.41450119,1179476.701,345288.7061,296
2,10.66261578,-4.418687344,1179030.583,344828.7187,297
2,10.66199875,-4.422609329,1178964.332,344399.3134,304
2,10.67467022,-4.402398109,1180355.74,346616.749,310
2,10.67152596,-4.407181263,1180010.285,346091.8985,301
2,10.66065216,-4.418434143,1178813.364,344855.3799,304
2,10.6619215,-4.418236256,1178953.636,344877.7089,304
2,10.66141224,-4.416236401,1178896.28,345096.2293,306
2,10.6684761,-4.412265301,1179675.536,345534.2039,292
2,10.6628828,-4.419909954,1179060.806,344695.1071,305
2,10.66128826,-4.418863773,1178883.922,344808.7441,308
2,10.67277145,-4.410774708,1180149.851,345699.4392,293
2,10.6614027,-4.418830872,1178896.551,344812.4056,302
2,10.66629505,-4.414817333,1179435.588,345253.921,300
2,10.66583252,-4.415328979,1179384.671,345197.7067,293
2,10.66347027,-4.420586109,1179126.103,344621.4239,305
2,10.66165447,-4.41607523,1178922.953,345113.9942,302
2,10.6603756,-4.418486595,1178782.724,344849.4993,300
2,10.66011906,-4.42351532,1178756.853,344299.2615,300
2,10.67327404,-4.404497623,1180202.348,346386.3592,303
2,10.67302895,-4.408694267,1180177.348,345927.1319,298
2,10.66419792,-4.418886662,1179205.671,344807.6882,310
2,10.66418362,-4.419398785,1179204.334,344751.6642,309
2,10.67353725,-4.404390812,1180231.413,346398.1735,307
2,10.66609478,-4.414836884,1179413.45,345251.7007,305
2,10.66290188,-4.418219566,1179061.979,344880.0114,304
2,10.65636253,-4.424951077,1178342.104,344140.2632,304
2,10.66165257,-4.41615963,1178922.839,345104.7592,308
2,10.66614532,-4.415650368,1179419.475,345162.7457,302
2,10.66096497,-4.421679974,1178849.506,344500.4519,301
2,10.66354561,-4.41865015,1179133.485,344833.2337,310
2,10.66609097,-4.415672779,1179413.461,345160.2523,301
2,10.66752815,-4.413355827,1179571.271,345414.4318,299
2,10.67439747,-4.402897358,1180325.785,346561.9999,310
2,10.66286945,-4.418426514,1179058.533,344857.3739,301
2,10.67487431,-4.403887749,1180379.062,346453.8784,306
2,10.66090584,-4.42110014,1178842.716,344563.8939,303
2,10.66641426,-4.414442062,1179448.555,345295.0232,302
2,10.66520405,-4.418914795,1179316.939,344805.1264,310
2,10.66135597,-4.417824745,1178890.818,344922.4263,302
2,10.67224503,-4.408660412,1180090.551,345930.4418,301
2,10.66642475,-4.414866924,1179449.935,345248.5484,297
2,10.66457367,-4.416400433,1179246.012,345079.8746,302
2,10.67423248,-4.40374279,1180307.924,346469.4002,309
2,10.6651783,-4.416182995,1179312.724,345103.9752,301
2,10.66111088,-4.417161465,1178863.435,344994.8443,301
2,10.6684351,-4.412086964,1179670.932,345553.6874,296
3,10.66379166,-4.456502438,1179179.849,340692.3852,302
3,10.67723179,-4.419028282,1180647.351,344798.7948,295
3,10.67330647,-4.477867126,1180243.288,338360.1435,287
3,10.69687653,-4.481692314,1182852.284,337954.1858,292
3,10.69800568,-4.480771065,1182976.685,338055.5589,299
3,10.66681671,-4.481554031,1179527.45,337953.3567,297
3,10.67613888,-4.48486948,1180560.222,337595.6074,274
3,10.70463657,-4.469858646,1183704.338,339252.7161,293
3,10.7012949,-4.466446877,1183332.933,339624.1634,301
3,10.66355324,-4.469389915,1179160.221,339282.377,317
3,10.6984024,-4.480055332,1183020.14,338134.0339,302
3,10.67377186,-4.460140705,1180285.585,340299.5647,311
3,10.68584919,-4.452682018,1181617.475,341121.8187,306
3,10.68329144,-4.453978062,1181335.308,340978.6986,320
3,10.66241074,-4.445639133,1179021.538,341880.1015,310
3,10.69023323,-4.463209629,1182107.816,339972.4826,316
3,10.69927788,-4.467552185,1183110.43,339502.1957,303
3,10.67343998,-4.481543541,1180260.037,337958.0202,290
3,10.69562721,-4.470022202,1182707.946,339230.0706,311
3,10.69264317,-4.459387302,1182372.412,340391.8375,322
3,10.6747551,-4.466888428,1180397.841,339561.9037,307
3,10.67805672,-4.475162983,1180767.335,338658.4483,306
3,10.68389511,-4.454175949,1181402.13,340957.3453,312
3,10.66952133,-4.444473267,1179807.468,342011.35,287
3,10.68519497,-4.444430351,1181540.924,342024.1253,296
3,10.69533253,-4.468196869,1182674.381,339429.5848,313
3,10.71619225,-4.454472065,1184974.421,340941.8273,308
3,10.67463875,-4.46786499,1180385.498,339455.0377,309
3,10.67809486,-4.471229076,1180769.437,339088.8318,304
3,10.68396091,-4.454215527,1181409.455,340953.0434,313
3,10.71454334,-4.45524168,1184792.495,340856.7751,300
3,10.68636608,-4.452377796,1181674.527,341155.3535,309
3,10.67201138,-4.455730915,1180088.565,340781.0972,312
3,10.70164394,-4.455718994,1183365.95,340797.8077,315
3,10.68186569,-4.458000183,1181179.616,340537.9548,317
3,10.67722607,-4.418251038,1180646.275,344883.8267,295
3,10.69892502,-4.457937241,1183066.434,340553.768,308
3,10.70115948,-4.458974838,1183314.095,340441.4285,308
3,10.69234753,-4.462025166,1182341.108,340103.1481,321
3,10.67429352,-4.459586143,1180343.036,340360.5298,317
3,10.70039654,-4.479470253,1183240.363,338199.1083,299
3,10.71548176,-4.454643726,1184895.97,340922.6802,311
3,10.6651144,-4.47386837,1179335.132,338793.2762,307
3,10.70072079,-4.473648071,1183273.174,338836.1269,308
3,10.66940117,-4.444139004,1179793.958,342047.8469,282
3,10.65961742,-4.441502094,1178710.564,342331.2521,265
3,10.67676353,-4.468163013,1180620.588,339423.5282,312
3,10.66563988,-4.456135273,1179384.075,340733.5105,310
3,10.70035744,-4.466413498,1183229.281,339627.3384,301
3,10.691082,-4.460538864,1182200.316,340265.0956,317
3,10.68460464,-4.456627369,1181481.933,340689.5933,316
3,10.67860603,-4.460614681,1180820.462,340250.2465,307
3,10.68206978,-4.481404305,1181214.467,337977.8252,287
3,10.67408466,-4.468377113,1180324.412,339398.7031,303
3,10.6926899,-4.461711884,1182378.76,340137.591,320
3,10.6726532,-4.47568512,1180169.941,338598.5173,287
3,10.67576408,-4.465534687,1180508.747,339710.5289,311
3,10.69243908,-4.466865063,1182353.705,339573.7836,316
3,10.67977428,-4.477633476,1180958.561,338389.1359,295
3,10.6901598,-4.475293159,1182106.04,338650.6001,297
3,10.67806053,-4.474419117,1180767.336,338739.819,303
3,10.7026062,-4.468861103,1183479.292,339360.7703,297
3,10.70314026,-4.460203171,1183533.767,340308.1266,309
3,10.67434406,-4.485303402,1180361.994,337547.1928,279
3,10.68590355,-4.452929497,1181623.684,341094.7534,314
3,10.68793392,-4.457896709,1181850.748,340552.4462,313
3,10.67416668,-4.468059063,1180333.378,339433.5354,307
3,10.67685604,-4.484848499,1180639.595,337598.2805,276
3,10.67537975,-4.454491138,1180460.491,340918.4379,320
3,10.68338299,-4.454466343,1181345.683,340925.3357,318
3,10.67712402,-4.418376923,1180635.075,344870.0299,296
3,10.68197918,-4.482652187,1181205.026,337841.2831,286
3,10.68598175,-4.456526756,1181634.178,340701.268,319
3,10.67758274,-4.467317581,1180710.797,339516.4407,312
3,10.68579292,-4.45528698,1181612.634,340836.8066,314
3,10.6952877,-4.465462208,1182668.055,339728.6932,324
3,10.67730045,-4.418302536,1180654.542,344878.2155,298
3,10.69252872,-4.46461916,1182362.45,339819.466,323
3,10.67539215,-4.46974802,1180469.717,339249.4327,309
3,10.69051838,-4.47525692,1182145.681,338654.7604,297
3,10.69661331,-4.465081215,1182814.49,339771.089,313
3,10.69408989,-4.468709469,1182537.202,339372.8727,310
3,10.67723942,-4.418860912,1180648.12,344817.1088,288
4,10.62538338,-4.554655075,1174983.89,329933.0861,287
4,10.62769794,-4.553924561,1175239.534,330014.2853,298
4,10.62699318,-4.556387901,1175162.953,329744.3539,319
4,10.62380981,-4.556693077,1174810.956,329709.2149,282
4,10.62589741,-4.550572872,1175038.553,330380.0185,293
4,10.62590408,-4.556440353,1175042.496,329738.0091,286
4,10.6286602,-4.551503658,1175344.593,330279.7345,289
4,10.62705326,-4.553352356,1175167.881,330076.5585,290
4,10.62338543,-4.555255413,1174763.21,329866.2769,314
4,10.63171291,-4.544222355,1175678.294,331078.0545,297
4,10.6297121,-4.557599545,1175464.328,329613.3189,291
4,10.62689304,-4.55535841,1175151.328,329856.9573,299
4,10.62912941,-4.549413204,1175395.377,330508.7034,286
4,10.62296391,-4.556088924,1174717.053,329774.8533,282
4,10.62656879,-4.554101944,1175114.734,329994.2718,301
4,10.63493252,-4.558907032,1176042.391,329473.149,300
4,10.62270355,-4.550092697,1174685.015,330430.8166,287
4,10.62825203,-4.552195549,1175299.906,330203.7562,287
4,10.63047504,-4.558247566,1175549.04,329542.8134,289
4,10.62470341,-4.555194855,1174908.99,329873.6462,287
4,10.63108158,-4.552512646,1175613.026,330170.6632,289
4,10.62935448,-4.557376862,1175424.582,329637.4521,290
4,10.62294579,-4.555868626,1174714.948,329798.9723,282
4,10.62876892,-4.552804947,1175357.338,330137.3668,288
4,10.62380886,-4.555104256,1174810.048,329883.0568,315
4,10.62674046,-4.55660677,1175135.112,329720.2767,319
4,10.63217926,-4.542331696,1175728.904,331285.182,301
4,10.62561226,-4.555508137,1175009.714,329839.8495,283
4,10.62665081,-4.556107044,1175124.89,329774.9145,320
4,10.62311077,-4.55665493,1174733.625,329713.0008,283
4,10.62394905,-4.569851875,1174833.608,328269.4768,292
4,10.62823963,-4.557764053,1175301.528,329594.4625,290
4,10.62739086,-4.556107998,1175206.762,329775.2426,318
4,10.62772465,-4.55201292,1175241.427,330223.4482,296
4,10.62327385,-4.555332184,1174750.941,329857.8327,314
4,10.62632275,-4.565443516,1175093.727,328753.1479,329
4,10.62884331,-4.545396328,1175361.5,330948.0439,299
4,10.62622929,-4.550562859,1175075.205,330381.2837,293
4,10.63163471,-4.557368279,1175676.801,329639.6888,304
4,10.63122272,-4.557341576,1175631.22,329642.3947,316
4,10.63147736,-4.557933331,1175659.775,329577.7527,290
4,10.62684536,-4.544812679,1175140.257,331010.8307,292
4,10.63111877,-4.556494236,1175619.278,329735.048,304
4,10.63054371,-4.545845985,1175549.85,330899.786,288
4,10.63117886,-4.546690941,1175620.574,330807.6825,299
4,10.63482761,-4.536913395,1176018.792,331879.4801,300
4,10.63012218,-4.557185173,1175509.444,329658.8707,314
4,10.62899017,-4.553286552,1175382.076,330084.8382,285
4,10.63180256,-4.544331074,1175688.273,331066.2554,294
4,10.62827587,-4.540880203,1175296.345,331441.8531,302
4,10.62366676,-4.556588173,1174795.09,329720.6367,282
4,10.62746716,-4.552289963,1175213.126,330192.9955,295
4,10.62882233,-4.544960976,1175359.018,330995.6679,303
4,10.63241577,-4.544941902,1175756.431,330999.7177,301
4,10.63125038,-4.556606293,1175633.931,329722.8415,304
4,10.63182354,-4.558413982,1175698.29,329525.3389,289
4,10.63454533,-4.536562443,1175987.397,331917.7526,303
4,10.62823296,-4.552973747,1175298.199,330118.6099,287
4,10.62424278,-4.551185608,1174855.863,330312.0814,289
4,10.63118172,-4.553483963,1175624.563,330064.4072,289
4,10.62808895,-4.553679466,1175282.667,330041.3361,292
4,10.62815285,-4.552694321,1175289.156,330149.1331,288
4,10.6226635,-4.550476551,1174680.747,330388.7985,287
4,10.62781715,-4.552391529,1175251.823,330182.0731,287
4,10.62263107,-4.549660206,1174676.798,330478.0639,289
4,10.63383484,-4.557570934,1175920.283,329618.7346,300
4,10.6317873,-4.556674957,1175693.321,329715.6463,302
4,10.62764359,-4.552829742,1175232.954,330134.0762,287
4,10.62998009,-4.556270599,1175493.229,329758.8668,306
4,10.63210106,-4.556651115,1175728.074,329718.4061,297
4,10.62855721,-4.557463169,1175336.463,329627.5816,289
4,10.62318897,-4.556638241,1174742.284,329714.8595,283
4,10.62687969,-4.557387352,1175150.947,329634.9694,317
4,10.6298275,-4.551391125,1175473.647,330292.6789,288
4,10.62964535,-4.551517487,1175453.579,330278.7482,287
4,10.62794685,-4.551905632,1175265.898,330235.3374,288
4,10.63737869,-4.538891315,1176302.115,331664.4748,299
4,10.62912369,-4.553206921,1175396.792,330093.6248,287
4,10.63312149,-4.558822632,1175842.112,329481.3879,295
4,10.62831879,-4.557164669,1175309.933,329660.1353,292
4,10.62832355,-4.557971478,1175310.977,329571.8196,287
4,10.62536716,-4.555562019,1174982.571,329833.8344,284
4,10.62786674,-4.556981087,1175259.853,329679.9517,294
4,10.63104343,-4.556272984,1175610.877,329759.2092,303
4,10.62684155,-4.56003046,1175148.171,329345.7428,318
4,10.62554646,-4.553945541,1175001.608,330010.7841,298
4,10.62960243,-4.556446075,1175451.578,329739.4628,298
4,10.62983131,-4.545730114,1175470.966,330912.0781,302
4,10.62719536,-4.557213783,1175185.71,329654.1378,315
4,10.62822437,-4.556174278,1175299.025,329768.4044,310
4,10.62566185,-4.55559206,1175015.257,329830.6969,283
4,10.62697887,-4.556194782,1175161.242,329765.494,319
4,10.6275692,-4.557123184,1175227.037,329664.2507,292
4,10.6261816,-4.55559206,1175072.718,329830.9748,283
4,10.62369061,-4.555422783,1174797.151,329848.1407,315
4,10.63132572,-4.544952869,1175635.87,330997.9163,298
4,10.62960815,-4.545318127,1175446.147,330957.0129,298
4,10.62592125,-4.553456783,1175042.763,330064.4776,298
4,10.62343502,-4.550350666,1174766.073,330403.0003,291
4,10.62479877,-4.549435616,1174916.401,330503.838,306
4,10.62704945,-4.556063652,1175168.977,329779.8951,320
4,10.62803268,-4.55399847,1175276.547,330006.4085,290
4,10.62991047,-4.557499886,1175486.236,329624.316,292
4,10.63066769,-4.558578014,1175570.581,329506.7774,288
4,10.63056374,-4.556815147,1175558.089,329699.6148,311
4,10.62670135,-4.556257725,1175130.6,329758.4623,320
4,10.62665272,-4.573458195,1175134.685,327876.3746,301
4,10.63429832,-4.536625385,1175960.175,331910.6929,302
4,10.63118172,-4.55715847,1175626.577,329662.3928,312
4,10.63142204,-4.544345856,1175646.21,331064.395,292
4,10.62791538,-4.552363873,1175262.747,330185.2001,295
4,10.63085079,-4.558158875,1175590.58,329552.7251,289
4,10.63185596,-4.556885242,1175701.002,329692.6458,301
4,10.62438679,-4.566571712,1174880.246,328628.6322,296
4,10.63871479,-4.539306641,1176450.118,331619.7843,297
4,10.62607002,-4.553438663,1175059.144,330066.5586,296
4,10.62789726,-4.550969601,1175259.917,330337.7248,287
4,10.62377262,-4.549007416,1174802.627,330550.1189,303
4,10.63139439,-4.545248985,1175643.679,330965.5895,299
4,10.62494564,-4.550282001,1174933.152,330411.3271,294
4,10.62324619,-4.550427437,1174745.199,330394.485,289
4,10.62265682,-4.5502491,1174679.891,330413.6678,287
4,10.62879944,-4.552630424,1175360.645,330156.525,286
4,10.62769413,-4.557676315,1175241.108,329603.7993,290
4,10.62595844,-4.556840897,1175048.714,329694.2548,285
4,10.62250423,-4.550224304,1174663.032,330416.2984,286
4,10.63147449,-4.543843269,1175651.749,331119.4223,295
4,10.62595367,-4.553919315,1175046.603,330013.8793,295
4,10.62810516,-4.544733524,1175279.5,331020.1716,297
4,10.63027573,-4.558584213,1175527.178,329505.8986,287
4,10.63105202,-4.558637142,1175613.047,329500.5064,289
4,10.62987232,-4.55685854,1175481.592,329694.4715,317
4,10.62793064,-4.55469799,1175265.693,329929.7915,297
4,10.63438892,-4.559316158,1175982.578,329428.1014,295
4,10.63081741,-4.556613922,1175585.977,329721.7476,308
4,10.62750435,-4.556326866,1175219.416,329751.3224,320
4,10.6268301,-4.557039738,1175145.232,329672.9662,318
4,10.62246323,-4.549511433,1174658.128,330494.2866,288
4,10.62730217,-4.553993702,1175195.73,330006.49,300
4,10.6283741,-4.552935123,1175313.799,330122.9246,288
