Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
67_220322_L001.flagfile	20107835	0	0	0	219035	0	1501650	0	19489234	0	96.92	nan	19888800	0	9944400	0	9944400	0	19054056	0	95.8	nan	19219472	0	50727	0	0.26	nan	65410	0	22811	0	20107835
68_220322_L001.flagfile	25033578	0	0	0	445250	0	2009969	0	22963288	0	91.73	nan	24588328	0	12294164	0	12294164	0	22249952	0	90.49	nan	22435366	0	82672	0	0.34	nan	78572	0	20025	0	25033578
6_220322_L001.flagfile	54153721	0	0	0	484519	0	6290020	0	52287499	0	96.55	nan	53669202	0	26834601	0	26834601	0	51005912	0	95.04	nan	51639154	0	163826	0	0.31	nan	152962	0	46669	0	54153721
71_220322_L001.flagfile	19308535	0	0	0	297193	0	1489045	0	18589648	0	96.28	nan	19011342	0	9505671	0	9505671	0	18081488	0	95.11	nan	18236768	0	55687	0	0.29	nan	69086	0	25634	0	19308535
72_220322_L001.flagfile	15677690	0	0	0	144494	0	1179954	0	14917359	0	95.15	nan	15533196	0	7766598	0	7766598	0	14627134	0	94.17	nan	14717584	0	55281	0	0.36	nan	38522	0	12812	0	15677690
73_220322_L001.flagfile	27688770	0	0	0	321580	0	2036863	0	26715986	0	96.49	nan	27367190	0	13683595	0	13683595	0	26092008	0	95.34	nan	26306238	0	88168	0	0.32	nan	94642	0	36263	0	27688770
74_220322_L001.flagfile	11984681	0	0	0	208777	0	868693	0	11616938	0	96.93	nan	11775904	0	5887952	0	5887952	0	11258600	0	95.61	nan	11377414	0	30747	0	0.26	nan	51762	0	19987	0	11984681
75_220322_L001.flagfile	24741135	0	0	0	522341	0	2754793	0	23787492	0	96.15	nan	24218794	0	12109397	0	12109397	0	22939112	0	94.72	nan	23200562	0	64589	0	0.27	nan	129178	0	55110	0	24741135
78_220322_L001.flagfile	22478116	0	0	0	270940	0	1671653	0	21686679	0	96.48	nan	22207176	0	11103588	0	11103588	0	21209052	0	95.51	nan	21355274	0	60465	0	0.27	nan	90948	0	36574	0	22478116
7_220322_L001.flagfile	50356957	0	0	0	552477	0	4716079	0	48560143	0	96.43	nan	49804480	0	24902240	0	24902240	0	47378018	0	95.13	nan	47862316	0	145350	0	0.29	nan	171616	0	58393	0	50356957
80_220322_L001.flagfile	18438229	0	0	0	218523	0	1557427	0	17780680	0	96.43	nan	18219706	0	9109853	0	9109853	0	17402576	0	95.52	nan	17511074	0	51083	0	0.28	nan	57612	0	21237	0	18438229
81_220322_L001.flagfile	17711578	0	0	0	270698	0	1414007	0	17196666	0	97.09	nan	17440880	0	8720440	0	8720440	0	16726010	0	95.9	nan	16880668	0	45300	0	0.26	nan	94742	0	40837	0	17711578
83_220322_L001	14582728	0	0	0	182170	0	1037368	0	14011056	0	96.08	nan	14400558	0	7200279	0	7200279	0	13680668	0	95.0	nan	13788982	0	39904	0	0.28	nan	65146	0	28115	0	14582728
83_220322_L001.flagfile	14582728	0	0	0	182170	0	1037386	0	14011058	0	96.08	nan	14400558	0	7200279	0	7200279	0	13680886	0	95.0	nan	13788984	0	39904	0	0.28	nan	65144	0	28109	0	14582728
84_220322_L001.flagfile	17067165	0	0	0	193761	0	1263326	0	16481408	0	96.57	nan	16873404	0	8436702	0	8436702	0	16134612	0	95.62	nan	16242432	0	45215	0	0.27	nan	57730	0	23087	0	17067165
88_220322_L001	1993624	0	0	0	23490	0	100351	0	1921766	0	96.4	nan	1970134	0	985067	0	985067	0	1878398	0	95.34	nan	1892014	0	6262	0	0.32	nan	7362	0	2751	0	1993624
88_220322_L001.flagfile	1993624	0	0	0	23490	0	100359	0	1921767	0	96.4	nan	1970134	0	985067	0	985067	0	1878450	0	95.35	nan	1892016	0	6261	0	0.32	nan	7358	0	2748	0	1993624
89_220322_L001.flagfile	16389347	0	0	0	227537	0	953084	0	15658064	0	95.54	nan	16161810	0	8080905	0	8080905	0	15236370	0	94.27	nan	15385578	0	44949	0	0.28	nan	67360	0	25576	0	16389347
8_220322_L001.flagfile	31006422	0	0	0	419432	0	2516874	0	29767221	0	96.0	nan	30586990	0	15293495	0	15293495	0	28987382	0	94.77	nan	29259394	0	88395	0	0.29	nan	100290	0	31409	0	31006422
90_220322_L001.flagfile	21057219	0	0	0	372573	0	1221421	0	20488902	0	97.3	nan	20684646	0	10342323	0	10342323	0	19799660	0	95.72	nan	20048406	0	67923	0	0.33	nan	126912	0	49440	0	21057219
91_220322_L001.flagfile	7427316	0	0	0	151672	0	283654	0	7257264	0	97.71	nan	7275644	0	3637822	0	3637822	0	6977966	0	95.91	nan	7083636	0	21956	0	0.3	nan	53190	0	20634	0	7427316
92_220322_L001.flagfile	20017130	0	0	0	360448	0	1266347	0	19492297	0	97.38	nan	19656682	0	9828341	0	9828341	0	18838274	0	95.84	nan	19069100	0	62749	0	0.32	nan	110182	0	41148	0	20017130
93_220322_L001.flagfile	19699559	0	0	0	346997	0	1328253	0	19129659	0	97.11	nan	19352562	0	9676281	0	9676281	0	18482352	0	95.5	nan	18726266	0	56396	0	0.29	nan	115484	0	43982	0	19699559
96_220322_L001.flagfile	25937898	0	0	0	429906	0	1883043	0	25302656	0	97.55	nan	25507992	0	12753996	0	12753996	0	24525952	0	96.15	nan	24798710	0	74040	0	0.29	nan	135538	0	50289	0	25937898
97_220322_L001	24872590	0	0	0	472074	0	1635752	0	24228552	0	97.41	nan	24400516	0	12200258	0	12200258	0	23430122	0	96.02	nan	23682674	0	73804	0	0.3	nan	118542	0	40807	0	24872590
