Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
10_220322_L001.srt.dp_stats	102160210.0	4728831.0	56684047.0	6687079.0	47350915.0	6228347.0	31808835.0	4577067.0	18389959.0	2875375.0	9577866.0	1679655.0	4693437.0	945060.0	2266904.0	535176.0	1107968.0	316369.0	570063.0	194326.0	317880.0	129240.0	190468.0	91651.0	125122.0	68286.0	89703.0	52774.0	66297.0	41748.0	50722.0	35537.0	41311.0	28770.0	33427.0	25832.0	28437.0	22766.0	24334.0	20034.0	21766.0	17959.0	19592.0	15831.0	17656.0	14808.0	16025.0	13865.0	14403.0	12745.0	13320.0
110_220322_L001.srt.dp_stats	78298576.0	3019128.0	31667994.0	5302328.0	34184470.0	6907667.0	32132301.0	7233755.0	26569278.0	6517831.0	19817820.0	5222849.0	13582083.0	3807976.0	8723119.0	2627844.0	5345273.0	1733649.0	3182266.0	1120528.0	1874406.0	727781.0	1116431.0	475246.0	680189.0	318131.0	431280.0	221758.0	282273.0	161414.0	194514.0	120335.0	140721.0	93253.0	106883.0	74603.0	82118.0	61121.0	65922.0	50271.0	53868.0	43669.0	45935.0	36741.0	38665.0	31483.0	32864.0	28100.0	28852.0	24651.0	25910.0
111_220322_L001.srt.dp_stats	81452500.0	2896425.0	37790352.0	4987642.0	40101292.0	6092921.0	35620922.0	5886955.0	27355149.0	4855290.0	18751304.0	3571457.0	11758084.0	2415779.0	6919812.0	1556495.0	3930801.0	978360.0	2201689.0	619736.0	1230128.0	398607.0	715411.0	266036.0	438570.0	184031.0	282450.0	133382.0	189380.0	100683.0	136846.0	79276.0	102642.0	64896.0	79424.0	52272.0	63175.0	45054.0	51374.0	37495.0	42880.0	33636.0	37458.0	29390.0	32712.0	26431.0	29061.0	23866.0	25768.0	21312.0	22284.0
112_220322_L001.srt.dp_stats	94760553.0	4098456.0	52231344.0	6226839.0	47027343.0	6240235.0	34148651.0	4949573.0	21262787.0	3375692.0	11878120.0	2104548.0	6203080.0	1240705.0	3160628.0	729494.0	1609922.0	440724.0	851270.0	279203.0	481953.0	183958.0	289916.0	127318.0	189298.0	91481.0	127797.0	69253.0	92350.0	53004.0	69346.0	44484.0	54618.0	37071.0	43070.0	31038.0	37018.0	27022.0	31557.0	24230.0	26773.0	21018.0	23521.0	18648.0	21207.0	18004.0	19078.0	16086.0	17434.0	14539.0	15718.0
113_220322_L001.srt.dp_stats	74506414.0	2500032.0	28618024.0	4521788.0	33035884.0	6106072.0	32835521.0	6606085.0	28364493.0	6093664.0	21864561.0	4992321.0	15406162.0	3740063.0	10104997.0	2641922.0	6323438.0	1791973.0	3859204.0	1205489.0	2327576.0	797517.0	1408324.0	541746.0	881463.0	376013.0	563126.0	268494.0	379744.0	197682.0	265332.0	150127.0	191159.0	116092.0	142732.0	93185.0	109879.0	74893.0	88266.0	62337.0	72174.0	52391.0	58677.0	44341.0	50314.0	38890.0	42350.0	32930.0	36290.0	29614.0	31664.0
114_220322_L001.srt.dp_stats	82806238.0	2971630.0	34181543.0	5067308.0	35648383.0	6406189.0	32538682.0	6591102.0	26263454.0	5790519.0	19133162.0	4543419.0	12816333.0	3262521.0	8048496.0	2210700.0	4838488.0	1440828.0	2836315.0	916603.0	1649651.0	591379.0	970419.0	387002.0	589896.0	260307.0	366476.0	180783.0	243334.0	131829.0	167191.0	98598.0	122259.0	76964.0	91388.0	61549.0	71081.0	49917.0	57349.0	41368.0	47379.0	35026.0	39773.0	30778.0	33773.0	27144.0	28802.0	24119.0	25461.0	21103.0	22310.0
115_220322_L001.srt.dp_stats	85501374.0	3965116.0	40263647.0	6544972.0	40470186.0	7556484.0	34073883.0	6929956.0	24876399.0	5416416.0	16241956.0	3782205.0	9754153.0	2454847.0	5502917.0	1508889.0	3004523.0	906991.0	1622274.0	553954.0	891844.0	346589.0	508453.0	224776.0	308591.0	155043.0	198418.0	113317.0	137760.0	86356.0	99910.0	68437.0	75865.0	55112.0	60539.0	45196.0	49152.0	38139.0	41120.0	33280.0	35131.0	28608.0	30851.0	25792.0	26685.0	23075.0	24102.0	20544.0	21789.0	18958.0	19888.0
116_220322_L001.srt.dp_stats	86511195.0	3956287.0	42229781.0	6575833.0	42201440.0	7511430.0	34544716.0	6702850.0	24288718.0	5111379.0	15279877.0	3491674.0	8863908.0	2215416.0	4896458.0	1356671.0	2658499.0	827832.0	1451454.0	523810.0	819442.0	334045.0	483364.0	224911.0	303077.0	159168.0	200771.0	117409.0	141857.0	89337.0	103421.0	68466.0	77236.0	56075.0	61316.0	46532.0	49465.0	39027.0	40619.0	33044.0	34999.0	28388.0	30520.0	25211.0	25852.0	23002.0	23587.0	20549.0	20949.0	18858.0	18352.0
117_220322_L001.srt.dp_stats	85237174.0	3751462.0	41122241.0	6295035.0	42019105.0	7300053.0	35087861.0	6618061.0	25077968.0	5093052.0	15921932.0	3501314.0	9293134.0	2243816.0	5179467.0	1383943.0	2793465.0	850142.0	1532888.0	534504.0	868322.0	348774.0	513461.0	234203.0	320556.0	166569.0	214424.0	122038.0	149611.0	93758.0	111039.0	72496.0	85579.0	59081.0	66917.0	50098.0	54478.0	42132.0	44756.0	36370.0	38822.0	32109.0	33254.0	27343.0	28381.0	24684.0	25208.0	21774.0	23067.0	19734.0	20601.0
118_220322_L001.srt.dp_stats	98753961.0	3477172.0	53815848.0	5081811.0	47270487.0	5039362.0	33837219.0	3964619.0	20908746.0	2702504.0	11694686.0	1697471.0	6146198.0	1024363.0	3153737.0	620120.0	1644952.0	387082.0	901064.0	252600.0	521810.0	171346.0	324017.0	123014.0	215380.0	91097.0	151395.0	71296.0	111628.0	57842.0	85228.0	49073.0	68159.0	40226.0	54863.0	35193.0	45950.0	29771.0	39430.0	27012.0	33782.0	23535.0	29773.0	22314.0	26568.0	20193.0	23206.0	18844.0	21169.0	16947.0	18903.0
