Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
220_220322_L001.srt.dp	results/220_220322_L001/220_220322_L001.srt.dp.bam	24962179.0	23790928.0	1607723095.0	1603067582.0	33199.1313	62.0	40.4455	0.0221	5.2558	95.30789759980489
221_220322_L001.srt.dp	results/221_220322_L001/221_220322_L001.srt.dp.bam	18142736.0	17377483.0	1347139973.0	1342559910.0	32015.8969	71.0	41.4378	0.024	4.4039	95.78204191473657
222_220322_L001.srt.dp	results/222_220322_L001/222_220322_L001.srt.dp.bam	22336500.0	21312154.0	1397724975.0	1393670189.0	30208.3928	59.0	40.1893	0.0221	4.5693	95.41402636939539
223_220322_L001.srt.dp	results/223_220322_L001/223_220322_L001.srt.dp.bam	19975847.0	19199848.0	1393779380.0	1389375652.0	36384.6055	66.0	40.7328	0.0232	4.5564	96.11531365853973
224_220322_L001.srt.dp	results/224_220322_L001/224_220322_L001.srt.dp.bam	22445244.0	21520789.0	1440333412.0	1436141766.0	25997.4268	60.0	40.5187	0.0223	4.7086	95.88128781313316
225_220322_L001.srt.dp	results/225_220322_L001/225_220322_L001.srt.dp.bam	20931081.0	20037097.0	1338957272.0	1334608529.0	27686.8886	59.0	40.6144	0.0242	4.3772	95.72891624660953
226_220322_L001.srt.dp	results/226_220322_L001/226_220322_L001.srt.dp.bam	28440764.0	27216922.0	1882762812.0	1876766002.0	29822.2761	62.0	40.6581	0.0233	6.1549	95.69687368454659
227_220322_L001.srt.dp	results/227_220322_L001/227_220322_L001.srt.dp.bam	24246941.0	23179208.0	1633094973.0	1627494963.0	28849.463	63.0	40.9909	0.0241	5.3387	95.59642183317064
22_220322_L001.srt.dp	results/22_220322_L001/22_220322_L001.srt.dp.bam	62592793.0	54806717.0	3572911801.0	3563361159.0	30072.1985	59.0	39.837	0.021	11.6801	87.56074680994026
235_220322_L001.srt.dp	results/235_220322_L001/235_220322_L001.srt.dp.bam	18280544.0	17226525.0	1403786572.0	1398781063.0	40452.8617	74.0	41.7641	0.0246	4.5891	94.23420331473724
23_220322_L001.srt.dp	results/23_220322_L001/23_220322_L001.srt.dp.bam	24598551.0	23686653.0	1770457385.0	1764627347.0	38585.082	68.0	40.8622	0.0236	5.7878	96.29287920251888
245_220322_L001.srt.dp	results/245_220322_L001/245_220322_L001.srt.dp.bam	19348910.0	4479225.0	94425927.0	94402465.0	789.3604	19.0	26.8621	0.0066	0.3087	23.14975365537387
246_220322_L001.srt.dp	results/246_220322_L001/246_220322_L001.srt.dp.bam	12449367.0	2084661.0	42863685.0	42859089.0	393.2913	19.0	26.678	0.0066	0.1401	16.745116438450243
248_220322_L001.srt.dp	results/248_220322_L001/248_220322_L001.srt.dp.bam	21188422.0	20359221.0	1482136008.0	1477218174.0	33761.6352	64.0	41.2691	0.0238	4.8452	96.08653726077382
24_220322_L001.srt.dp	results/24_220322_L001/24_220322_L001.srt.dp.bam	35127139.0	22709278.0	1604621932.0	1599729189.0	37874.806	62.0	40.1758	0.0228	5.2456	64.64881184886706
251_220322_L001.srt.dp	results/251_220322_L001/251_220322_L001.srt.dp.bam	17159779.0	16480604.0	1260218126.0	1255793725.0	41464.6272	69.0	41.296	0.0247	4.1197	96.04205275604075
256_220322_L001.srt.dp	results/256_220322_L001/256_220322_L001.srt.dp.bam	13647011.0	13232124.0	1246681378.0	1241532673.0	63900.7501	95.0	42.2443	0.0273	4.0755	96.95986908781711
257_220322_L001.srt.dp	results/257_220322_L001/257_220322_L001.srt.dp.bam	21744008.0	20843190.0	1436797198.0	1432067895.0	26184.8794	60.0	40.8624	0.0236	4.697	95.85716671921755
