Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
C3_1_EKDN220028148-1A_H57YWDSX5_L4.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_1_EKDN220028148-1A_H57YWDSX5_L4/C3_1_EKDN220028148-1A_H57YWDSX5_L4.srt.dp.bam	5799729.0	5772375.0	812138759.0	808405856.0	142167.2219	223.0	43.8537	0.0299	2.6549	99.528357273245
C3_2_EKDN220028224-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_2_EKDN220028224-1A_H3NGLDSX5_L2/C3_2_EKDN220028224-1A_H3NGLDSX5_L2.srt.dp.bam	7939901.0	7885113.0	1102789974.0	1097561556.0	146550.803	220.0	44.0062	0.031	3.6051	99.30996620738722
C3_3_EKDN220028284-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_3_EKDN220028284-1A_H3NGLDSX5_L2/C3_3_EKDN220028284-1A_H3NGLDSX5_L2.srt.dp.bam	7609489.0	7566854.0	1057424655.0	1052392711.0	146623.5138	226.0	43.6452	0.0311	3.4568	99.43971270607001
C3_4_EKDN220028358-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_4_EKDN220028358-1A_H5J72DSX5_L1/C3_4_EKDN220028358-1A_H5J72DSX5_L1.srt.dp.bam	6623511.0	6585957.0	904542400.0	900245924.0	118415.2685	188.0	43.8846	0.0312	2.957	99.43301973832307
C3_5_EKDN220028428-1A_H5GV5DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_5_EKDN220028428-1A_H5GV5DSX5_L1/C3_5_EKDN220028428-1A_H5GV5DSX5_L1.srt.dp.bam	7467760.0	7240362.0	991770670.0	987101905.0	144690.3219	209.0	44.3676	0.0308	3.2422	96.95493695566006
C3_6_EKDN220028502-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_6_EKDN220028502-1A_H5J72DSX5_L2/C3_6_EKDN220028502-1A_H5J72DSX5_L2.srt.dp.bam	6676598.0	6646764.0	937426590.0	933189890.0	148444.3439	224.0	43.8332	0.029	3.0645	99.55315566400733
C3_7_EKDN220028566-1A_H3NGLDSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_7_EKDN220028566-1A_H3NGLDSX5_L1/C3_7_EKDN220028566-1A_H3NGLDSX5_L1.srt.dp.bam	5856850.0	5821437.0	796303703.0	792730425.0	121922.9198	182.0	43.7401	0.0306	2.6032	99.39535757275668
C3_8_EKDN220028632-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_8_EKDN220028632-1A_H3V53DSX5_L2/C3_8_EKDN220028632-1A_H3V53DSX5_L2.srt.dp.bam	20332074.0	20217993.0	2793967823.0	2780635717.0	122011.8934	191.0	43.7216	0.0312	9.1337	99.43891115092342
C3_9_EKDN220028704-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C3_9_EKDN220028704-1A_H5J72DSX5_L2/C3_9_EKDN220028704-1A_H5J72DSX5_L2.srt.dp.bam	6059522.0	6012259.0	838645589.0	834736513.0	135214.2409	208.0	43.7007	0.0298	2.7416	99.22002098515361
C4_13_EKDN220028943-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_13_EKDN220028943-1A_H5J72DSX5_L2/C4_13_EKDN220028943-1A_H5J72DSX5_L2.srt.dp.bam	9504607.0	9453971.0	1325266423.0	1319135654.0	153989.521	225.0	43.5676	0.0303	4.3324	99.46724783044687
C4_14_EKDN220028984-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_14_EKDN220028984-1A_H5J72DSX5_L2/C4_14_EKDN220028984-1A_H5J72DSX5_L2.srt.dp.bam	6784331.0	6737918.0	905952080.0	901606473.0	114266.088	177.0	43.967	0.0311	2.9616	99.31587948760165
C4_1_EKDN220028149-1A_H57YWDSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_1_EKDN220028149-1A_H57YWDSX5_L3/C4_1_EKDN220028149-1A_H57YWDSX5_L3.srt.dp.bam	7783345.0	7736188.0	1086582530.0	1081506900.0	133470.3293	217.0	44.392	0.0295	3.5521	99.39412938781462
C4_3_EKDN220028285-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_3_EKDN220028285-1A_H3NGLDSX5_L2/C4_3_EKDN220028285-1A_H3NGLDSX5_L2.srt.dp.bam	7618994.0	7561979.0	1057903168.0	1052972629.0	138638.2077	219.0	44.0456	0.0302	3.4584	99.25167285864774
C4_4_EKDN220028359-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_4_EKDN220028359-1A_H5J72DSX5_L1/C4_4_EKDN220028359-1A_H5J72DSX5_L1.srt.dp.bam	7817493.0	7780604.0	1077613258.0	1072585598.0	126269.7011	197.0	45.3864	0.0308	3.5228	99.52812237887517
C4_8_EKDN220028633-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_8_EKDN220028633-1A_H3V53DSX5_L2/C4_8_EKDN220028633-1A_H3V53DSX5_L2.srt.dp.bam	10793504.0	10735382.0	1499356048.0	1492462339.0	146837.3491	227.0	43.6499	0.0307	4.9015	99.46150944123428
C4_9_EKDN220028705-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C4_9_EKDN220028705-1A_H3V53DSX5_L2/C4_9_EKDN220028705-1A_H3V53DSX5_L2.srt.dp.bam	8685864.0	8641138.0	1211424003.0	1205724309.0	150593.2712	233.0	43.4799	0.0311	3.9602	99.48507137574339
C5_12_EKDN220028889-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_12_EKDN220028889-1A_H5JF5DSX5_L3/C5_12_EKDN220028889-1A_H5JF5DSX5_L3.srt.dp.bam	5633238.0	5606775.0	780709361.0	777039409.0	133621.0031	202.0	43.7128	0.0301	2.5522	99.53023465367521
C5_13_EKDN220028944-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_13_EKDN220028944-1A_H5J72DSX5_L2/C5_13_EKDN220028944-1A_H5J72DSX5_L2.srt.dp.bam	8822114.0	8769473.0	1228705564.0	1223339237.0	147502.3167	216.0	43.7247	0.0289	4.0167	99.40330628237177
C5_1_EKDN220028150-1A_H3YFWDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_1_EKDN220028150-1A_H3YFWDSX5_L2/C5_1_EKDN220028150-1A_H3YFWDSX5_L2.srt.dp.bam	9193214.0	9097142.0	1269892388.0	1264330366.0	152535.0745	232.0	43.4605	0.0297	4.1514	98.95496830597004
C5_3_EKDN220028286-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_3_EKDN220028286-1A_H3NGLDSX5_L2/C5_3_EKDN220028286-1A_H3NGLDSX5_L2.srt.dp.bam	6624602.0	6593185.0	920595182.0	916337365.0	136575.9824	209.0	43.6423	0.0307	3.0095	99.5257526414417
C5_4_EKDN220028360-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_4_EKDN220028360-1A_H5J72DSX5_L1/C5_4_EKDN220028360-1A_H5J72DSX5_L1.srt.dp.bam	7333715.0	7294342.0	995072413.0	990433286.0	129020.1352	186.0	45.9143	0.0311	3.253	99.46312339653231
C5_5_EKDN220028430-1A_H5GV5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_5_EKDN220028430-1A_H5GV5DSX5_L3/C5_5_EKDN220028430-1A_H5GV5DSX5_L3.srt.dp.bam	9672954.0	9564568.0	1317288426.0	1311103533.0	134510.169	206.0	44.2021	0.0309	4.3063	98.87949430959767
