Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
A10_10_EKDN220028752-1A_H5JF5DSX5_L3.srt.dp_stats	100.0	67.29273355811367	56.726533445426014	43.46421940785755	33.284579973434575	23.828434384809945	17.09736542380921	11.76483024183713	8.1718395245017	5.578303309586702	3.8923997998724182	2.7349162184616826	1.9901629198123265	1.4877694104914432	1.1610324899503874	0.9369487950229605	0.7850381180433539	0.6746970071932675	0.5938207291080909	0.5318083252281506	0.48320174682665756	0.44347757390884807	0.4112124509310926	0.3838032129430185	0.359972305175562	0.34000348339626335	0.3221137937385733	0.30708356456322766	0.2932622395680249	0.28078352394757783	0.2694865791792715	0.25965875701387536	0.2506893941175586	0.24276646234093813	0.23507726947421553	0.22799154797486548	0.2214573195398478	0.21533630226862147	0.20978998849893415	0.20439405220974052	0.1993760210671789	0.19464534167538677	0.19029583650588955	0.18611991925409266	0.18214799232366113	0.17831140512567395	0.17461211910552885	0.1712083575253105	0.16778138550788552	0.16466987929193103	0.1615560847230125	0.15857730297897202	0.15572078466472422	0.15305158438596098	0.1504395929312986
A10_11_EKDN220028814-1A_H5J72DSX5_L1.srt.dp_stats	100.0	70.23328378918403	59.89805694838338	47.764076471447076	37.04536417185784	27.430886787836524	19.914130470365787	14.055841618200821	9.83783109435322	6.815990720218755	4.756117704063042	3.3529706054589	2.423240910222336	1.802833115655392	1.3894248266015252	1.105607273531204	0.9117713549899528	0.7731890263955826	0.6708316521294468	0.5944889281735891	0.5342071729495914	0.48644532369939353	0.4471601876431124	0.4138845933779524	0.3858133675681398	0.36092916362209476	0.33955660075314403	0.3208856020120193	0.3040903988862704	0.28946847726122177	0.27633627341575967	0.2645032002387367	0.25405261915955685	0.24453797444266723	0.23587459702839844	0.22781501788906852	0.22049196149659148	0.2136272295120539	0.20744769578646158	0.20156139814783194	0.19607327392494436	0.19103791668136932	0.186265393121092	0.18173053136150796	0.17740031373842188	0.17339569605136132	0.16957185824845947	0.16587682202667614	0.16250673192578574	0.15915102575781212	0.15600454043226453	0.15314475304235384	0.1502934652491667	0.14752226980972077	0.14481841732893072
A10_1_EKDN220028127-1A_H5GV5DSX5_L1.srt.dp_stats	100.0	68.63981143239303	56.08226924430144	42.14879403177671	30.448351831103754	20.88070428286114	13.99025742225159	9.151085908804308	5.980694813656574	3.933967077648975	2.6572720754844217	1.8678550305906043	1.3792037346338815	1.0668569582533742	0.8616865005736933	0.722733785706716	0.6241914227391921	0.5503717713799657	0.4930877585388534	0.4468228190347004	0.41018726880320505	0.37932915599076455	0.3531079000985907	0.33035938328312264	0.31069981606153496	0.293924881204896	0.279012338753415	0.26587294294149455	0.254610650375215	0.2443637327098343	0.23508707670120427	0.22692779075415567	0.219479201856223	0.21265271805694144	0.20630351930444427	0.20038485781675186	0.1950180163009581	0.18994244942672933	0.18510160218509725	0.1806648126954004	0.1764235139303454	0.17253560224445058	0.16888077565332102	0.16547766788823526	0.16234066288211008	0.1592350410023488	0.15635531225089438	0.1534500847092693	0.15077532700187912	0.14815647048832464	0.14561182199231815	0.14323978069131313	0.14093540925653028	0.1388458160928004	0.13674249281128628
A10_2_EKDN220028207-1A_H57WKDSX5_L2.srt.dp_stats	100.0	66.19766774596508	53.684982833397186	39.99467617951993	29.392803586291073	20.462044877569944	14.200436103846844	9.567002559614325	6.493328375583946	4.388199910488786	3.0311245490171186	2.1336599767583104	1.5580849396476	1.1795652067909712	0.9330948817239598	0.7644233269130649	0.6481642083904188	0.5634206137960237	0.5005549811680646	0.45056623757629477	0.4113379834365482	0.3796076812372442	0.35318831935989825	0.33054277842781166	0.3110927589562163	0.2943537839318694	0.2797334968446522	0.2672037836438638	0.25589507020317104	0.2455474650073728	0.23669644265005318	0.22866334302359279	0.22154100787681819	0.21472792728775456	0.20841436145998304	0.2027359770335143	0.1974858415188863	0.19243675415752706	0.18775020728718417	0.1832450941161326	0.17896195118259237	0.17504919452165946	0.17130021855143818	0.16772156142325434	0.16428674362423837	0.16104970490282827	0.15785124127424044	0.15481655833636426	0.15196428982047824	0.1492640333229174	0.1466562916666168	0.14409268253176546	0.14169645007085493	0.13926393087008612	0.13703344054528496
A10_3_EKDN220028263-1A_H3NGLDSX5_L2.srt.dp_stats	100.0	65.83971213356595	55.0544816631106	41.50123852527472	31.691432235856904	22.520197052296705	16.211176874234468	11.153188800567836	7.815583831447296	5.365724145732177	3.791402687989618	2.6851530410906532	1.9787692104043981	1.4932058833188568	1.1752268164787278	0.9553183849879652	0.8029134237681271	0.6915585725549734	0.6098215468477536	0.5466875231078699	0.49692630718223835	0.4568369785128822	0.4239546540499699	0.39588996639148305	0.37228854773556264	0.3513419454254886	0.3331103104534585	0.3167420486092852	0.3027281750575372	0.2898172876344539	0.2782954304605396	0.2681740453006145	0.2589931732089076	0.25064362705827786	0.24300837393999322	0.23609950943400643	0.2295201677548406	0.2235083376107554	0.21802609772406104	0.21285017022698102	0.2082054675251233	0.2037824081532107	0.19970358244860215	0.19569667640857752	0.19191337514389573	0.18824743369551228	0.1847534456269977	0.1814526599301609	0.17814991278792638	0.17492693109186677	0.17200208909626422	0.16923089365681832	0.16655253996619893	0.16390131960358167	0.16142728314189397
A10_4_EKDN220028334-1A_H3V53DSX5_L2.srt.dp_stats	100.0	76.80791603794987	72.28411911876208	66.28173660334265	60.16472656506392	53.193386100268185	46.31563829097876	39.426378104834846	33.086065026897	27.262706575097766	22.209953272290146	17.860279418488712	14.243986076012952	11.274535254637097	8.90476432667996	7.029571855763962	5.567598067513382	4.436388701020559	3.572077459597118	2.9060196386582136	2.3991314772084	2.0123811925552713	1.71579168777754	1.4888504938131664	1.311201076509231	1.1708031032916826	1.057242606728766	0.9645770610804493	0.888370984487301	0.8236913417739952	0.7684145413899075	0.720181945244251	0.6779588908897157	0.640427613926584	0.6066011804122243	0.5760601679390858	0.5486832938000744	0.5234378569932783	0.5004111418388968	0.4793010857456774	0.4597876462062217	0.44142067150174724	0.4239762299493451	0.40826962901934405	0.3934669275101367	0.3799496265515842	0.367495428998609	0.35591080557196686	0.3450094189588722	0.33475073262110505	0.3250301361374523	0.3157328849521459	0.3070430280250076	0.2988343790354492	0.2910971307564818
A10_5_EKDN220028405-1A_H5J72DSX5_L1.srt.dp_stats	100.0	68.74939182933636	59.118307867855044	46.919216230217934	37.12236724909761	27.73349792998533	20.687532967402156	14.856162664968265	10.704536606792173	7.554256865122639	5.397188672080086	3.84363859419207	2.7951973198705473	2.066383053430825	1.5763427272249333	1.2314696287212044	0.9957542356775895	0.8275710807707327	0.7063864459467852	0.6156329826537026	0.5459840180252125	0.49050682330298867	0.44586301842007103	0.40954326089761245	0.3788868500535733	0.3527806656247338	0.3305502973018364	0.31154683356579405	0.29495627457654305	0.2801251321090684	0.2668850487667304	0.2550287651525008	0.24426304517941677	0.23438978286230627	0.2257617114651969	0.21809376759028318	0.21109794567166307	0.20461634935481818	0.19841033611635628	0.19261263042819143	0.187200021853117	0.18214505015556454	0.17744346553717225	0.17298902303889574	0.1688461234512942	0.16475389453646772	0.16115529604674014	0.15766425014632218	0.15438929014722236	0.15132289717541597	0.1483084825066498	0.14543300355355718	0.14258694628143068	0.1399298415826202	0.13748980350782672
A10_7_EKDN220028549-1A_H3NGLDSX5_L2.srt.dp_stats	100.0	70.23998245212489	59.74321064145848	47.58898052914344	36.77789395854745	27.128033734088664	19.55866622052937	13.71979077418858	9.518949762630127	6.534373581977136	4.509406121212108	3.1361328167383054	2.2284628440750356	1.627454725214478	1.2315294528058356	0.9662714229965338	0.7855869958471559	0.6596945651610566	0.5684530288715021	0.5008639088182093	0.44865938574212133	0.4078655712674088	0.37421207185561683	0.34661290057152794	0.32296571485632675	0.3022280064811125	0.2845910163721651	0.2693411053122721	0.25591206939661815	0.24374685813224384	0.23324920236351818	0.2235711038634832	0.21489628468439426	0.2070053898492703	0.19980721214711628	0.19313175964346102	0.18691528536287783	0.18127841819732798	0.1762031782306655	0.17139861772889167	0.16681995035542468	0.16256982508607984	0.1585495158358373	0.15484238403410122	0.15138599033571007	0.14807964721024636	0.1450260036335253	0.1421142379405744	0.13934729229949025	0.13652706072510074	0.13393337609415062	0.131427956506099	0.12915496819768008	0.12688197988926112	0.12470248714480128
A10_8_EKDN220028612-1A_H5J72DSX5_L2.srt.dp_stats	100.0	70.30228874590694	58.52577711600354	45.48096939312873	33.77182099015032	23.940201793371756	16.463213127525144	11.03493521898325	7.316213890207035	4.849595288106024	3.2622377373424936	2.253223803868589	1.6150616593763991	1.2088662588651693	0.9471777327721952	0.7708990388937166	0.6510897042011539	0.5653434841009454	0.5007897008006613	0.4513936406265764	0.411431152092941	0.37862891998376996	0.351300755072136	0.3275172489017916	0.30696424330153155	0.28883918019611227	0.2733153205956677	0.25973361884655594	0.24816599461336097	0.237384583077095	0.22787288052830199	0.21894536180047036	0.21109238824303614	0.20398116795351542	0.19758162543580945	0.19176986272229413	0.18633338989488046	0.18123755475154166	0.1763989958628736	0.17207041277761898	0.1679356858791747	0.16407033081535397	0.16044002229169618	0.15706110568651593	0.15380118343546548	0.1508603229691147	0.14799955485650512	0.14532773931721157	0.14279910929195333	0.14038097402410132	0.1379840877480582	0.13570717654884376	0.13357998901499044	0.13142239907747208	0.12935274727528592
A10_9_EKDN220028684-1A_H3V53DSX5_L2.srt.dp_stats	100.0	78.85344729226483	76.35899970286064	73.13771465707008	69.61374262657533	65.27122870229078	60.41502334319437	55.00454587854457	49.33263127972027	43.51485052481708	37.802612531505964	32.351529878047195	27.33149054230585	22.814178488510567	18.847619380317546	15.44488363604222	12.56821048960992	10.189152117694466	8.254221865744777	6.699225875691058	5.4601497617174015	4.483525503004009	3.718804036390487	3.121011380351965	2.6544959764314813	2.2910532205321776	2.0042882688441797	1.7782741847378063	1.596930058119654	1.4506343454986557	1.330928313597041	1.2313156552574815	1.1460016069599093	1.0730093586509644	1.0096582682870638	0.9534236287337445	0.9030092514906641	0.8568894589459443	0.8154990381627513	0.7778343829125729	0.7433459615764746	0.7116565228229569	0.6819981607788032	0.654760876170598	0.629524592775658	0.6055688063178783	0.5832266356073096	0.562703378595582	0.5433981791758533	0.5251868124729333	0.5081418519665383	0.4920838254027748	0.47698756089903843	0.4625483806035463	0.44892254633298534
