bamorder,sample_name,sample_metadata_id,collection_date,village,method,sample,species,conc_ng_ul,estimated_total_ng,well,cluster,lat,long,month,year,treated
97,A8_11,A8_11,01/07/2015,YABLE I,CDC,541-2,gambiae,2.0908,1045.4,A8,4,10.31913,-4.38869,7,2015,1
98,A8_12,A8_12,12/07/2015,NATIERA,CDC,657-6,gambiae,5.308,2654,A8,10,10.69726,-4.44495,7,2015,1
99,A8_1,A8_1,30/07/2014,KANKOUNADENI,CDC,53a-16,gambiae,1.2,598.8,A8,36,10.48214,-4.61734,7,2014,0
100,A8_2,A8_2,09/11/2015,PONT MAURICE,CDC,310-15,gambiae,1.77,884,A8,11,10.66015,-4.51636,11,2015,1
101,A8_6,A8_6,08/09/2014,SANHOUNOU,CDC,135-4,gambiae,3.29,1646.6,A8,12,10.67426,-4.59349,9,2014,1
102,A8_9,A8_9,10/09/2015,KOFING,CDC,128-5,gambiae,6.7008,3350.4,A8,9,10.20378,-4.39405,9,2015,1
103,A9_10,A9_10,16/09/2015,SISRANKA,CDC,139b-5,gambiae,2.0308,1015.4,A9,29,10.40929,-4.61967,9,2015,0
104,A9_12,A9_12,12/07/2015,MOSSIBOUGOU,CDC,666-6,gambiae,2.8088,1404.4,A9,10,10.69726,-4.44495,7,2015,1
105,A9_13,A9_13,24/07/2015,BOLOMAKOTE,CDC,924-2,gambiae,2.6012,1300.6,A9,37,10.23163,-4.4324,7,2015,0
106,A9_1,A9_1,14/08/2014,BOUNOUBA,CDC,488-1,gambiae,2.78,1392.4,A9,39,10.26145,-4.36408,8,2014,0
107,A9_2,A9_2,09/11/2015,DASSORPIRE,CDC,311-4,gambiae,1.19,597,A9,12,10.67426,-4.59349,11,2015,1
108,A9_3,A9_3,03/09/2015,NATIERA,CDC,112b-3,gambiae,1.0752,537.6,A9,10,10.69726,-4.44495,9,2015,1
109,A9_4,A9_4,09/09/2015,BOUSSANRA I,CDC,126-3,gambiae,1.0464,523.2,A9,26,10.50926,-4.57797,9,2015,1
110,A9_5,A9_5,03/09/2014,FRIGARA,CDC,113a-3,gambiae,4.884,2442,A9,20,10.49796,-4.46115,9,2014,0
111,A9_6,A9_6,08/09/2014,SANHOUNOU,CDC,135-12,gambiae,3.12,1561.4,A9,12,10.67426,-4.59349,9,2014,1
112,A9_7,A9_7,12/09/2014,LOMBO,CDC,34-7,gambiae,4.6544,2327.2,A9,18,10.07051,-4.30001,9,2014,1
113,A9_8,A9_8,23/09/2014,KANKOUNADENI,CDC,1227-3,gambiae,1.8952,947.6,A9,36,10.48214,-4.61734,9,2014,0
114,B10_10,B10_10,16/09/2015,BOULO-KOMARA,CDC,141-3,gambiae,2.51,1255,B10,29,10.40929,-4.61967,9,2015,0
115,B10_11,B10_11,07/07/2015,BOUSSANRA I,CDC,020-3,gambiae,3.4308,1715.4,B10,26,10.50926,-4.57797,7,2015,1
116,B10_13,B10_13,24/07/2015,KOFLANDE,CDC,922-1,gambiae,2.606,1303,B10,37,10.23163,-4.4324,7,2015,0
117,B10_1,B10_1,15/08/2014,LOMBO,CDC,504-4,gambiae,1.23,615.6,B10,18,10.07051,-4.30001,8,2014,0
118,B10_2,B10_2,09/11/2015,DASSORPIRE,CDC,311-13,gambiae,2.22,1110.4,B10,12,10.67426,-4.59349,11,2015,1
119,B10_3,B10_3,03/09/2015,NATIERA,CDC,113b-4,gambiae,1.9728,986.4,B10,10,10.69726,-4.44495,9,2015,1
120,B10_4,B10_4,09/09/2015,BOUSSANRA I,CDC,126-12,gambiae,1.204,602,B10,26,10.50926,-4.57797,9,2015,1
121,B10_5,B10_5,03/09/2014,FRIGARA,CDC,113a-12,gambiae,2.5308,1265.4,B10,20,10.49796,-4.46115,9,2014,0
122,B10_6,B10_6,17/09/2014,SISRANKA,CDC,171-1,gambiae,2.27,1134.8,B10,29,10.40929,-4.61967,9,2014,0
123,B10_7,B10_7,12/09/2014,DANDOUGOU,CDC,41a-6,gambiae,1.5,750,B10,2,10.10211,-4.3382,9,2014,1
124,B10_8,B10_8,04/11/2014,KOFING,CDC,1826-2,gambiae,2.3956,1197.8,B10,9,10.20378,-4.39405,11,2014,1
125,B10_9,B10_9,10/09/2015,KOFLANDE,CDC,129-9,gambiae,2.7372,1368.6,B10,37,10.23163,-4.4324,9,2015,1
126,B1_10,B1_10,10/09/2015,BOUNOUBA,CDC,131-2,gambiae,4.8992,2449.6,B1,39,10.26145,-4.36408,9,2015,1
127,B11_10,B11_10,16/09/2015,BOULO-KOMARA,CDC,141-11,gambiae,3.2928,1646.4,B11,29,10.40929,-4.61967,9,2015,0
128,B11_11,B11_11,07/07/2015,BOUSSANRA I,CDC,020-11,gambiae,4.7244,2362.2,B11,26,10.50926,-4.57797,7,2015,1
129,B11_2,B11_2,09/11/2015,SANHOUNOU,CDC,3618-4,gambiae,1.74,868.4,B11,12,10.67426,-4.59349,11,2015,1
130,B11_3,B11_3,07/09/2015,SANHOUNOU,CDC,122-1,gambiae,4.808,2404,B11,12,10.67426,-4.59349,9,2015,1
131,B1_13,B1_13,14/07/2015,TIEFORA II,CDC,026-2,gambiae,7.2556,3627.8,B1,11,10.66015,-4.51636,7,2015,1
132,B11_4,B11_4,10/09/2015,KOFLANDE,CDC,130-1,gambiae,1.2264,613.2,B11,37,10.23163,-4.4324,9,2015,1
133,B11_5,B11_5,19/09/2014,BOLOMAKOTE,CDC,1167-1,gambiae,2.0304,1015.2,B11,9,10.20378,-4.39405,9,2014,1
134,B11_6,B11_6,17/09/2014,SISRANKA,CDC,171-9,gambiae,1.8,898,B11,29,10.40929,-4.61967,9,2014,0
135,B11_7,B11_7,12/09/2014,DANDOUGOU,CDC,41a-14,gambiae,2.2288,1114.4,B11,2,10.10211,-4.3382,9,2014,1
136,B12_6,B12_6,17/09/2014,SISRANKA,CDC,171-17,gambiae,1.82,912,B12,29,10.40929,-4.61967,9,2014,0
138,B1_3,B1_3,02/09/2015,YABLE I,CDC,106b-2,gambiae,5.1672,2583.6,B1,4,10.31913,-4.38869,9,2015,1
139,B1_4,B1_4,04/09/2015,SOBARA III,CDC,114-2,gambiae,1.544,772,B1,3,10.25882,-4.41593,9,2015,1
140,B1_5,B1_5,01/09/2014,KANGOUNABA II,CDC,104a-2,gambiae,2.336,1168,B1,1,10.58465,-4.54745,9,2014,1
141,B1_6,B1_6,03/09/2014,BAMAKO,CDC,117-2,gambiae,1.96,982.2,B1,20,10.49796,-4.46115,9,2014,0
142,B1_8,B1_8,17/09/2014,SISRANKA,CDC,170-2,gambiae,2.9564,1478.2,B1,29,10.40929,-4.61967,9,2014,0
143,B1_9,B1_9,05/11/2014,KANGOUNABA I,CDC,1840-2,gambiae,4.8448,2422.4,B1,9,10.20378,-4.39405,11,2014,1
144,B2_10,B2_10,10/09/2015,BOUNOUBA,CDC,131-10,gambiae,2.3532,1176.6,B2,39,10.26145,-4.36408,9,2015,1
145,B2_11,B2_11,01/07/2015,BAMAKO,CDC,444-3,gambiae,5.2552,2627.6,B2,20,10.49796,-4.46115,7,2015,1
146,B2_12,B2_12,09/07/2015,BOUNOUBA,CDC,022-4,gambiae,4.4248,2212.4,B2,39,10.26145,-4.36408,7,2015,0
147,B2_1,B2_1,23/07/2014,SAKORA I,CDC,237-6,gambiae,2.4,1202.4,B2,29,10.40929,-4.61967,7,2014,0
148,B2_2,B2_2,02/11/2015,KANKOUNABA II,CDC,302-10,gambiae,3.83,1916.4,B2,1,10.58465,-4.54745,11,2015,1
149,B2_3,B2_3,02/09/2015,YABLE I,CDC,106b-10,gambiae,4.152,2076,B2,4,10.31913,-4.38869,9,2015,1
150,B2_4,B2_4,04/09/2015,SOBARA III,CDC,114-10,gambiae,1.5488,774.4,B2,3,10.25882,-4.41593,9,2015,1
151,B2_5,B2_5,01/09/2014,KANGOUNABA II,CDC,104a-10,gambiae,2.0996,1049.8,B2,1,10.58465,-4.54745,9,2014,1
152,B2_7,B2_7,09/09/2014,BOUSSANRA I,CDC,139a-10,gambiae,2.3328,1166.4,B2,26,10.50926,-4.57797,9,2014,0
153,B2_8,B2_8,19/09/2014,BOLOMAKOTE,CDC,195-1,gambiae,3.2968,1648.4,B2,9,10.20378,-4.39405,9,2014,1
154,B2_9,B2_9,05/11/2014,NATIERA,CDC,357-1,gambiae,7.252,3626,B2,10,10.69726,-4.44495,11,2014,1
155,B3_10,B3_10,10/09/2015,BOUNOUBA,CDC,131-18,gambiae,2.6528,1326.4,B3,39,10.26145,-4.36408,9,2015,1
156,B3_11,B3_11,01/07/2015,BAMAKO,CDC,017-5,gambiae,6.3036,3151.8,B3,20,10.49796,-4.46115,7,2015,1
157,B3_12,B3_12,09/07/2015,BOUNOUBA,CDC,591-1,gambiae,6.1744,3087.2,B3,39,10.26145,-4.36408,7,2015,0
158,B3_13,B3_13,14/07/2015,TIEFORA II,CDC,027-6,gambiae,6.3564,3178.2,B3,11,10.66015,-4.51636,7,2015,1
159,B3_14,B3_14,10/09/2015,BOLOMAKOTE,CDC,157-18,gambiae,6.4856,3242.8,B3,9,10.20378,-4.39405,9,2015,1
160,B3_1,B3_1,23/07/2014,SISRANKA,CDC,241-3,gambiae,1.91,956.4,B3,29,10.40929,-4.61967,7,2014,0
161,B3_2,B3_2,02/11/2015,KANKOUNABA II,CDC,302-18,gambiae,2.57,1285.6,B3,1,10.58465,-4.54745,11,2015,1
162,B3_3,B3_3,02/09/2015,BAMAKO,CDC,107b-6,gambiae,6.0592,3029.6,B3,20,10.49796,-4.46115,9,2015,1
163,B3_4,B3_4,04/09/2015,SOBARA III,CDC,114-18,gambiae,3.8072,1903.6,B3,3,10.25882,-4.41593,9,2015,1
