bamorder,sample_name,sample_metadata_id,collection_date,village,method,sample,species,conc_ng_ul,estimated_total_ng,well,cluster,lat,long,month,year,treated
243,bf_123a_4,C5_6,08/09/2014,TIEFORA II,CDC,132a-4,gambiae,1.99,994.2,C5,11,10.66015,-4.51636,9,2014,1
244,bf_123a_5,D5_6,08/09/2014,TIEFORA II,CDC,132a-5,gambiae,2.51,1256.6,D5,11,10.66015,-4.51636,9,2014,1
245,bf_133_2,C4_10,11/09/2015,DANDOUGOU,CDC,133-2,gambiae,4.7928,2396.4,C4,2,10.10211,-4.3382,9,2015,1
246,bf_134_5,B5_10,11/09/2015,KIESSE(KEHINSA),CDC,134-5,gambiae,4.398,2199,B5,2,10.10211,-4.3382,9,2015,1
247,bf_134_6,C5_10,11/09/2015,KIESSE(KEHINSA),CDC,134-6,gambiae,3.2128,1606.4,C5,2,10.10211,-4.3382,9,2015,1
248,bf_28a_10,F4_7,11/09/2014,BOUNOUBA,CDC,28a-10,gambiae,4.2768,2138.4,F4,39,10.26145,-4.36408,9,2014,0
249,bf_28a_2,F3_7,11/09/2014,BOUNOUBA,CDC,28a-2,gambiae,5.7128,2856.4,F3,39,10.26145,-4.36408,9,2014,0
250,bf_28a_3,G3_7,11/09/2014,BOUNOUBA,CDC,28a-3,gambiae,7.7496,3874.8,G3,39,10.26145,-4.36408,9,2014,0
251,bf_28a_6,B4_7,11/09/2014,BOUNOUBA,CDC,28a-6,gambiae,5.092,2546,B4,39,10.26145,-4.36408,9,2014,0
252,bf_28a_7,C4_7,11/09/2014,BOUNOUBA,CDC,28a-7,gambiae,5.332,2666,C4,39,10.26145,-4.36408,9,2014,0
253,bf_28a_8,D4_7,11/09/2014,BOUNOUBA,CDC,28a-8,gambiae,5.4008,2700.4,D4,39,10.26145,-4.36408,9,2014,0
254,bf_28a_9,E4_7,11/09/2014,BOUNOUBA,CDC,28a-9,gambiae,5.848,2924,E4,39,10.26145,-4.36408,9,2014,0
255,bf_418_1,D5_11,01/07/2015,YABLE I,CDC,418-1,gambiae,6.5816,3290.8,D5,4,10.31913,-4.38869,7,2015,1
256,bf_424_1,E5_11,01/07/2015,YABLE I,CDC,424-1,gambiae,4.6268,2313.4,E5,4,10.31913,-4.38869,7,2015,1
257,bf_424_3,G5_11,01/07/2015,YABLE I,CDC,424-3,gambiae,4.4836,2241.8,G5,4,10.31913,-4.38869,7,2015,1
258,bf_424_5,A6_11,01/07/2015,YABLE I,CDC,424-5,gambiae,8.9504,4475.2,A6,4,10.31913,-4.38869,7,2015,1
259,bf_427_1,C6_11,01/07/2015,YABLE I,CDC,427-1,gambiae,5.5352,2767.6,C6,4,10.31913,-4.38869,7,2015,1
260,bf_427_3,E6_11,01/07/2015,YABLE I,CDC,427-3,gambiae,9.1428,4571.4,E6,4,10.31913,-4.38869,7,2015,1
261,bf_428_2,D7_11,01/07/2015,BOUNOUMBA,CDC,428-2,gambiae,4.8276,2413.8,D7,4,10.31913,-4.38869,7,2015,1
262,bf_542_2,H6_11,01/07/2015,YABLE I,CDC,542-2,gambiae,8.766,4383,H6,4,10.31913,-4.38869,7,2015,1
263,bf_542_3,A7_11,01/07/2015,YABLE I,CDC,542-3,gambiae,15.934,7967,A7,4,10.31913,-4.38869,7,2015,1
264,bf_89_2,A11_9,11/09/2015,DANDOUGOU,CDC,89-2,gambiae,4.118,2059,A11,2,10.10211,-4.3382,9,2015,1
265,bf_89_3,B11_9,11/09/2015,DANDOUGOU,CDC,89-3,gambiae,7.8732,3936.6,B11,2,10.10211,-4.3382,9,2015,1
266,bf_89_4,C11_9,11/09/2015,DANDOUGOU,CDC,89-4,gambiae,7.6628,3831.4,C11,2,10.10211,-4.3382,9,2015,1
267,bf_89_5,D11_9,11/09/2015,DANDOUGOU,CDC,89-5,gambiae,6.3764,3188.2,D11,2,10.10211,-4.3382,9,2015,1
268,bf_89_6,E11_9,11/09/2015,DANDOUGOU,CDC,89-6,gambiae,4.682,2341,E11,2,10.10211,-4.3382,9,2015,1
269,bf_89_7,F11_9,11/09/2015,DANDOUGOU,CDC,89-7,gambiae,7.6852,3842.6,F11,2,10.10211,-4.3382,9,2015,1
270,bf_89_9,H11_9,11/09/2015,DANDOUGOU,CDC,89-9,gambiae,3.4868,1743.4,H11,2,10.10211,-4.3382,9,2015,1
271,C10_10,C10_10,16/09/2015,BOULO-KOMARA,CDC,141-4,gambiae,2.8232,1411.6,C10,29,10.40929,-4.61967,9,2015,0
272,C10_11,C10_11,07/07/2015,BOUSSANRA I,CDC,020-4,gambiae,3.6692,1834.6,C10,26,10.50926,-4.57797,7,2015,1
273,C10_12,C10_12,14/07/2015,SANHOUROU,CDC,028-10,gambiae,4.2976,2148.8,C10,12,10.67426,-4.59349,7,2015,1
274,C10_2,C10_2,09/11/2015,DASSORPIRE,CDC,311-14,gambiae,2.38,1192.4,C10,12,10.67426,-4.59349,11,2015,1
275,C10_4,C10_4,09/09/2015,BOUSSANRA I,CDC,126-13,gambiae,1.3616,680.8,C10,26,10.50926,-4.57797,9,2015,1
276,C10_5,C10_5,03/09/2014,FRIGARA,CDC,113a-13,gambiae,2.8608,1430.4,C10,20,10.49796,-4.46115,9,2014,0
277,C10_6,C10_6,17/09/2014,SISRANKA,CDC,171-2,gambiae,4.08,2042.2,C10,29,10.40929,-4.61967,9,2014,0
278,C10_8,C10_8,04/11/2014,KOFING,CDC,1826-3,gambiae,3.3852,1692.6,C10,9,10.20378,-4.39405,11,2014,1
279,C10_9,C10_9,10/09/2015,KOFLANDE,CDC,129-10,gambiae,6.6964,3348.2,C10,37,10.23163,-4.4324,9,2015,1
280,C1_10,C1_10,10/09/2015,BOUNOUBA,CDC,131-3,gambiae,8.512,4256,C1,39,10.26145,-4.36408,9,2015,1
281,C11_10,C11_10,16/09/2015,BOULO-KOMARA,CDC,141-12,gambiae,5.704,2852,C11,29,10.40929,-4.61967,9,2015,0
282,C11_1,C11_1,15/08/2014,LOMBO,CDC,515-2,gambiae,2.87,1434.4,C11,18,10.07051,-4.30001,8,2014,0
283,C11_2,C11_2,16/09/2015,SISRANKA,CDC,140-1,gambiae,1.79,896.8,C11,29,10.40929,-4.61967,9,2015,0
284,C11_3,C11_3,07/09/2015,SANHOUNOU,CDC,122-2,gambiae,1.7784,889.2,C11,12,10.67426,-4.59349,9,2015,1
285,C1_13,C1_13,14/07/2015,TIEFORA II,CDC,026-3,gambiae,5.7016,2850.8,C1,11,10.66015,-4.51636,7,2015,1
286,C11_4,C11_4,10/09/2015,KOFLANDE,CDC,130-2,gambiae,2.3528,1176.4,C11,37,10.23163,-4.4324,9,2015,1
287,C11_5,C11_5,19/09/2014,BOLOMAKOTE,CDC,1167-2,gambiae,2.4028,1201.4,C11,9,10.20378,-4.39405,9,2014,1
288,C11_7,C11_7,12/09/2014,DANDOUGOU,CDC,41a-15,gambiae,2.8296,1414.8,C11,2,10.10211,-4.3382,9,2014,1
289,C1_2,C1_2,02/11/2015,KANKOUNABA II,CDC,302-3,gambiae,2.43,1215.2,C1,1,10.58465,-4.54745,11,2015,1
290,C1_3,C1_3,02/09/2015,YABLE I,CDC,106b-3,gambiae,3.8384,1919.2,C1,4,10.31913,-4.38869,9,2015,1
291,C1_4,C1_4,04/09/2015,SOBARA III,CDC,114-3,gambiae,1.608,804,C1,3,10.25882,-4.41593,9,2015,1
292,C1_6,C1_6,03/09/2014,BAMAKO,CDC,117-3,gambiae,2.29,1144.4,C1,20,10.49796,-4.46115,9,2014,0
293,C1_8,C1_8,17/09/2014,SISRANKA,CDC,170-3,gambiae,3.63,1815,C1,29,10.40929,-4.61967,9,2014,0
294,C1_9,C1_9,05/11/2014,KANGOUNABA I,CDC,1840-3,gambiae,8.284,4142,C1,9,10.20378,-4.39405,11,2014,1
295,C2_10,C2_10,10/09/2015,BOUNOUBA,CDC,131-11,gambiae,3.244,1622,C2,39,10.26145,-4.36408,9,2015,1
296,C2_11,C2_11,01/07/2015,BAMAKO,CDC,556-1,gambiae,4.2008,2100.4,C2,20,10.49796,-4.46115,7,2015,1
297,C2_12,C2_12,09/07/2015,BOUNOUBA,CDC,022-5,gambiae,10.8016,5400.8,C2,39,10.26145,-4.36408,7,2015,0
298,C2_13,C2_13,14/07/2015,TIEFORA II,CDC,026-11,gambiae,3.7316,1865.8,C2,11,10.66015,-4.51636,7,2015,1
299,C2_14,C2_14,10/09/2015,BOLOMAKOTE,CDC,157-11,gambiae,3.4292,1714.6,C2,9,10.20378,-4.39405,9,2015,1
300,C2_1,C2_1,23/07/2014,SAKORA I,CDC,238-1,gambiae,1.83,913.6,C2,29,10.40929,-4.61967,7,2014,0
301,C2_2,C2_2,02/11/2015,KANKOUNABA II,CDC,302-11,gambiae,2.33,1166,C2,1,10.58465,-4.54745,11,2015,1
302,C2_3,C2_3,02/09/2015,YABLE I,CDC,106b-11,gambiae,2.592,1296,C2,4,10.31913,-4.38869,9,2015,1
303,C2_4,C2_4,04/09/2015,SOBARA III,CDC,114-11,gambiae,2.7568,1378.4,C2,3,10.25882,-4.41593,9,2015,1
304,C2_5,C2_5,01/09/2014,KANGOUNABA II,CDC,104a-11,gambiae,3.4264,1713.2,C2,1,10.58465,-4.54745,9,2014,1
305,C2_6,C2_6,03/09/2014,BAMAKO,CDC,117-11,gambiae,3.28,1641.2,C2,20,10.49796,-4.46115,9,2014,0
306,C2_7,C2_7,09/09/2014,BOUSSANRA I,CDC,139a-11,gambiae,2.0976,1048.8,C2,26,10.50926,-4.57797,9,2014,0
307,C2_8,C2_8,19/09/2014,BOLOMAKOTE,CDC,195-2,gambiae,2.9536,1476.8,C2,9,10.20378,-4.39405,9,2014,1
308,C2_9,C2_9,05/11/2014,NATIERA,CDC,357-2,gambiae,6.8852,3442.6,C2,10,10.69726,-4.44495,11,2014,1
309,C3_10,C3_10,10/09/2015,BOUNOUBA,CDC,131-19,gambiae,2.8856,1442.8,C3,39,10.26145,-4.36408,9,2015,1
310,C3_12,C3_12,09/07/2015,BOUNOUBA,CDC,581-1,gambiae,9.1584,4579.2,C3,39,10.26145,-4.36408,7,2015,0
311,C3_13,C3_13,14/07/2015,TIEFORA II,CDC,027-7,gambiae,10.9544,5477.2,C3,11,10.66015,-4.51636,7,2015,1
312,C3_1,C3_1,23/07/2014,SISRANKA,CDC,241-4,gambiae,2.21,1102.8,C3,29,10.40929,-4.61967,7,2014,0
313,C3_2,C3_2,02/11/2015,KANKOUNABA II,CDC,302-19,gambiae,1.89,945.6,C3,1,10.58465,-4.54745,11,2015,1
314,C3_3,C3_3,02/09/2015,BAMAKO,CDC,107b-7,gambiae,5.0104,2505.2,C3,20,10.49796,-4.46115,9,2015,1
315,C3_4,C3_4,04/09/2015,SOBARA III,CDC,116-1,gambiae,1.8152,907.6,C3,3,10.25882,-4.41593,9,2015,1
316,C3_5,C3_5,01/09/2014,KANGOUNABA II,CDC,105-6,gambiae,2.3152,1157.6,C3,1,10.58465,-4.54745,9,2014,1
317,C3_6,C3_6,07/09/2014,SOBARA II,CDC,123a-8,gambiae,2.22,1109.4,C3,3,10.25882,-4.41593,9,2014,1
318,C3_7,C3_7,09/09/2014,BOUSSANRA I,CDC,139a-19,gambiae,2.6176,1308.8,C3,26,10.50926,-4.57797,9,2014,0
319,C3_8,C3_8,19/09/2014,BOLOMAKOTE,CDC,195-10,gambiae,4.962,2481,C3,9,10.20378,-4.39405,9,2014,1
320,C3_9,C3_9,05/11/2014,NATIERA,CDC,357-10,gambiae,3.2696,1634.8,C3,10,10.69726,-4.44495,11,2014,1
321,C4_13,C4_13,16/07/2015,SOBARA II,CDC,029-6,gambiae,2.8596,1429.8,C4,3,10.25882,-4.41593,7,2015,1
322,C4_14,C4_14,10/09/2015,BOLOMAKOTE,CDC,157-27,gambiae,3.8844,1942.2,C4,9,10.20378,-4.39405,9,2015,1
323,C4_1,C4_1,25/07/2014,KOFING,CDC,51a-6,gambiae,2.23,1113.2,C4,9,10.20378,-4.39405,7,2014,1
324,C4_3,C4_3,02/09/2015,BAMAKO,CDC,107b-15,gambiae,3.44,1720,C4,20,10.49796,-4.46115,9,2015,1
325,C4_4,C4_4,07/09/2015,DASSORPIRE,CDC,119-5,gambiae,1.3816,690.8,C4,12,10.67426,-4.59349,9,2015,1
326,C4_8,C4_8,19/09/2014,KOFLANDE,CDC,209-3,gambiae,3.3976,1698.8,C4,37,10.23163,-4.4324,9,2014,0
327,C4_9,C4_9,06/11/2014,FRIGARA,CDC,1863-1,gambiae,6.604,3302,C4,20,10.49796,-4.46115,11,2014,0
328,C5_12,C5_12,12/07/2015,KANKOUNABA II,CDC,024-3,gambiae,11.3064,5653.2,C5,1,10.58465,-4.54745,7,2015,1
329,C5_13,C5_13,16/07/2015,SOBARA II,CDC,029-13,gambiae,2.4788,1239.4,C5,3,10.25882,-4.41593,7,2015,1
330,C5_1,C5_1,25/07/2014,KOFING,CDC,51a-14,gambiae,2.84,1418.4,C5,9,10.20378,-4.39405,7,2014,1
331,C5_3,C5_3,02/09/2015,FRIGARA,CDC,108-2,gambiae,4.4736,2236.8,C5,20,10.49796,-4.46115,9,2015,1
332,C5_4,C5_4,07/09/2015,DASSORPIRE,CDC,119-13,gambiae,1.4096,704.8,C5,12,10.67426,-4.59349,9,2015,1
333,C5_5,C5_5,01/09/2014,MOSSIBOUGOU,CDC,106a-15,gambiae,4.5816,2290.8,C5,10,10.69726,-4.44495,9,2014,1
334,C5_6,C5_6,08/09/2014,TIEFORA II,CDC,132a-4,gambiae,1.99,994.2,C5,11,10.66015,-4.51636,9,2014,1
335,C5_7,C5_7,11/09/2014,BOUNOUBA,CDC,1019-3,gambiae,3.3656,1682.8,C5,39,10.26145,-4.36408,9,2014,0
336,C5_8,C5_8,19/09/2014,KOFLANDE,CDC,209-11,gambiae,3.52,1760,C5,37,10.23163,-4.4324,9,2014,0
337,C5_9,C5_9,10/11/2014,PONT MAURICE,CDC,360-1,gambiae,3.4212,1710.6,C5,11,10.66015,-4.51636,11,2014,1
338,C6_10,C6_10,11/09/2015,LOMBO,CDC,136-1,gambiae,8.4708,4235.4,C6,18,10.07051,-4.30001,9,2015,1
339,C6_12,C6_12,12/07/2015,KANKOUNABA II,CDC,024-11,gambiae,9.88,4940,C6,1,10.58465,-4.54745,7,2015,1
340,C6_13,C6_13,21/07/2015,SISRANKA,CDC,854-1,gambiae,4.2812,2140.6,C6,39,10.26145,-4.36408,7,2015,0
341,C6_1,C6_1,30/07/2014,KANKOUNADENI,CDC,53a-2,gambiae,3.19,1593.6,C6,36,10.48214,-4.61734,7,2014,0
342,C6_2,C6_2,09/11/2015,PONT MAURICE,CDC,310-1,gambiae,2.2,1101.4,C6,11,10.66015,-4.51636,11,2015,1
343,C6_3,C6_3,03/09/2015,KANGOUNABA I,CDC,109-5,gambiae,2.1608,1080.4,C6,1,10.58465,-4.54745,9,2015,1
344,C6_4,C6_4,07/09/2015,TIEFORA II,CDC,123b-4,gambiae,3.3224,1661.2,C6,11,10.66015,-4.51636,9,2015,1
345,C6_6,C6_6,08/09/2014,TIEFORA II,CDC,132a-12,gambiae,7.06,3530.2,C6,11,10.66015,-4.51636,9,2014,1
346,C6_7,C6_7,12/09/2014,LOMBO,CDC,34-3,gambiae,3.1128,1556.4,C6,18,10.07051,-4.30001,9,2014,1
347,C6_8,C6_8,19/09/2014,KOFLANDE,CDC,209-19,gambiae,3.2912,1645.6,C6,37,10.23163,-4.4324,9,2014,0
348,C6_9,C6_9,10/11/2014,PONT MAURICE,CDC,360-9,gambiae,7.5764,3788.2,C6,11,10.66015,-4.51636,11,2014,1
349,C7_10,C7_10,11/09/2015,LOMBO,CDC,136-9,gambiae,3.5348,1767.4,C7,18,10.07051,-4.30001,9,2015,1
350,C7_11,C7_11,01/07/2015,BOUNOUMBA,CDC,428-1,gambiae,0.0388,19.4,C7,4,10.31913,-4.38869,7,2015,1
351,C7_13,C7_13,24/07/2015,BAKARIDJAN II,CDC,909-1,gambiae,2.8,1400,C7,9,10.20378,-4.39405,7,2015,1
352,C7_1,C7_1,30/07/2014,KANKOUNADENI,CDC,53a-10,gambiae,3.24,1620,C7,36,10.48214,-4.61734,7,2014,0
353,C7_2,C7_2,09/11/2015,PONT MAURICE,CDC,310-9,gambiae,1.52,758.2,C7,11,10.66015,-4.51636,11,2015,1
354,C7_3,C7_3,03/09/2015,KANGOUNABA I,CDC,109-13,gambiae,4.056,2028,C7,1,10.58465,-4.54745,9,2015,1
355,C7_4,C7_4,07/09/2015,TIEFORA II,CDC,123b-12,gambiae,1.8488,924.4,C7,11,10.66015,-4.51636,9,2015,1
356,C7_6,C7_6,08/09/2014,TIEFORA II,CDC,132a-20,gambiae,4.32,2159.6,C7,11,10.66015,-4.51636,9,2014,1
357,C7_7,C7_7,12/09/2014,LOMBO,CDC,34-11,gambiae,3.9608,1980.4,C7,18,10.07051,-4.30001,9,2014,1
358,C7_8,C7_8,23/09/2014,KANKOUNADENI,CDC,223-6,gambiae,3.4824,1741.2,C7,36,10.48214,-4.61734,9,2014,0
359,C7_9,C7_9,10/11/2014,PONT MAURICE,CDC,360-17,gambiae,6.878,3439,C7,11,10.66015,-4.51636,11,2014,1
360,C8_10,C8_10,11/09/2015,LOMBO,CDC,136-17,gambiae,1.7172,858.6,C8,18,10.07051,-4.30001,9,2015,1
361,C8_12,C8_12,12/07/2015,NATIERA,CDC,657-8,gambiae,2.4032,1201.6,C8,10,10.69726,-4.44495,7,2015,1
362,C8_13,C8_13,24/07/2015,BAKARIDJAN I,CDC,906-2,gambiae,5.0336,2516.8,C8,9,10.20378,-4.39405,7,2015,1
363,C8_1,C8_1,30/07/2014,KANKOUNADENI,CDC,285-1,gambiae,1.93,963.2,C8,36,10.48214,-4.61734,7,2014,0
364,C8_2,C8_2,09/11/2015,TIEFORA II,CDC,3612-1,gambiae,5.89,2947.2,C8,11,10.66015,-4.51636,11,2015,1
365,C8_3,C8_3,03/09/2015,KANGOUNABA I,CDC,111b-8,gambiae,0.9104,455.2,C8,1,10.58465,-4.54745,9,2015,1
366,C8_4,C8_4,07/09/2015,TIEFORA II,CDC,125-4,gambiae,1.9608,980.4,C8,11,10.66015,-4.51636,9,2015,1
367,C8_6,C8_6,08/09/2014,SANHOUNOU,CDC,135-6,gambiae,2.72,1358,C8,12,10.67426,-4.59349,9,2014,1
368,C8_7,C8_7,12/09/2014,LOMBO,CDC,37a-1,gambiae,4.308,2154,C8,18,10.07051,-4.30001,9,2014,1
369,C8_8,C8_8,23/09/2014,KANKOUNADENI,CDC,224-1,gambiae,3.1316,1565.8,C8,36,10.48214,-4.61734,9,2014,0
370,C8_9,C8_9,10/09/2015,KOFING,CDC,128-7,gambiae,9.386,4693,C8,9,10.20378,-4.39405,9,2015,1
371,C9_11,C9_11,07/07/2015,KANKOUNADENI,CDC,519-2,gambiae,3.818,1909,C9,36,10.48214,-4.61734,7,2015,0
372,C9_13,C9_13,24/07/2015,KOFLANDE,CDC,921-1,gambiae,2.078,1039,C9,37,10.23163,-4.4324,7,2015,0
373,C9_1,C9_1,15/08/2014,LOMBO,CDC,501-2,gambiae,3.84,1917.6,C9,18,10.07051,-4.30001,8,2014,0
374,C9_3,C9_3,03/09/2015,NATIERA,CDC,112b-5,gambiae,2.8256,1412.8,C9,10,10.69726,-4.44495,9,2015,1
375,C9_4,C9_4,09/09/2015,BOUSSANRA I,CDC,126-5,gambiae,0.9248,462.4,C9,26,10.50926,-4.57797,9,2015,1
376,C9_6,C9_6,08/09/2014,SANHOUNOU,CDC,135-14,gambiae,3.29,1647.4,C9,12,10.67426,-4.59349,9,2014,1
377,C9_8,C9_8,04/11/2014,BAKARIDJAN II,CDC,1833-1,gambiae,1.6512,825.6,C9,9,10.20378,-4.39405,11,2014,1
378,C9_9,C9_9,10/09/2015,KOFLANDE,CDC,129-2,gambiae,6.322,3161,C9,37,10.23163,-4.4324,9,2015,1
379,D10_10,D10_10,16/09/2015,BOULO-KOMARA,CDC,141-5,gambiae,4.4584,2229.2,D10,29,10.40929,-4.61967,9,2015,0
380,D10_11,D10_11,07/07/2015,BOUSSANRA I,CDC,020-5,gambiae,6.5816,3290.8,D10,26,10.50926,-4.57797,7,2015,1
381,D10_12,D10_12,14/07/2015,SANHOUROU,CDC,028-11,gambiae,5.7976,2898.8,D10,12,10.67426,-4.59349,7,2015,1
382,D10_1,D10_1,15/08/2014,LOMBO,CDC,514-1,gambiae,1.7,847.6,D10,18,10.07051,-4.30001,8,2014,0
383,D10_2,D10_2,09/11/2015,DASSORPIRE,CDC,311-15,gambiae,1.65,822.8,D10,12,10.67426,-4.59349,11,2015,1
384,D10_3,D10_3,03/09/2015,NATIERA,CDC,113b-6,gambiae,3.6552,1827.6,D10,10,10.69726,-4.44495,9,2015,1
385,D10_4,D10_4,09/09/2015,BOUSSANRA I,CDC,126-14,gambiae,1.0656,532.8,D10,26,10.50926,-4.57797,9,2015,1
386,D10_6,D10_6,17/09/2014,SISRANKA,CDC,171-3,gambiae,1.71,856,D10,29,10.40929,-4.61967,9,2014,0
387,D10_7,D10_7,12/09/2014,DANDOUGOU,CDC,41a-8,gambiae,2.1104,1055.2,D10,2,10.10211,-4.3382,9,2014,1
388,D10_8,D10_8,04/11/2014,KOFING,CDC,1826-4,gambiae,4.8268,2413.4,D10,9,10.20378,-4.39405,11,2014,1
389,D10_9,D10_9,10/09/2015,KOFLANDE,CDC,129-11,gambiae,3.2112,1605.6,D10,37,10.23163,-4.4324,9,2015,1
390,D11_11,D11_11,07/07/2015,BOUSSANRA I,CDC,619-1,gambiae,3.7624,1881.2,D11,26,10.50926,-4.57797,7,2015,1
391,D11_1,D11_1,15/08/2014,LOMBO,CDC,515-3,gambiae,2.18,1090.4,D11,18,10.07051,-4.30001,8,2014,0
392,D11_3,D11_3,07/09/2015,SANHOUNOU,CDC,122-3,gambiae,1.648,824,D11,12,10.67426,-4.59349,9,2015,1
393,D11_4,D11_4,10/09/2015,KOFLANDE,CDC,130-3,gambiae,1.6776,838.8,D11,37,10.23163,-4.4324,9,2015,1
394,D11_5,D11_5,19/09/2014,BOLOMAKOTE,CDC,1167-3,gambiae,1.7208,860.4,D11,9,10.20378,-4.39405,9,2014,1
395,D11_6,D11_6,17/09/2014,SISRANKA,CDC,171-11,gambiae,1.95,975.6,D11,29,10.40929,-4.61967,9,2014,0
396,D11_7,D11_7,12/09/2014,DANDOUGOU,CDC,41a-16,gambiae,2.3848,1192.4,D11,2,10.10211,-4.3382,9,2014,1
397,D1_2,D1_2,02/11/2015,KANKOUNABA II,CDC,302-4,gambiae,2.89,1443.2,D1,1,10.58465,-4.54745,11,2015,1
398,D1_3,D1_3,02/09/2015,YABLE I,CDC,106b-4,gambiae,2.9912,1495.6,D1,4,10.31913,-4.38869,9,2015,1
399,D1_4,D1_4,04/09/2015,SOBARA III,CDC,114-4,gambiae,1.7896,894.8,D1,3,10.25882,-4.41593,9,2015,1
400,D1_5,D1_5,01/09/2014,KANGOUNABA II,CDC,104a-4,gambiae,1.0796,539.8,D1,1,10.58465,-4.54745,9,2014,1
401,D1_6,D1_6,03/09/2014,BAMAKO,CDC,117-4,gambiae,1.93,963.2,D1,20,10.49796,-4.46115,9,2014,0
402,D1_7,D1_7,09/09/2014,BOUSSANRA I,CDC,139a-4,gambiae,3.2376,1618.8,D1,26,10.50926,-4.57797,9,2014,0
403,D1_8,D1_8,17/09/2014,SISRANKA,CDC,170-4,gambiae,4.8024,2401.2,D1,29,10.40929,-4.61967,9,2014,0
404,D1_9,D1_9,05/11/2014,KANGOUNABA I,CDC,1840-4,gambiae,3.0044,1502.2,D1,9,10.20378,-4.39405,11,2014,1
405,D2_10,D2_10,10/09/2015,BOUNOUBA,CDC,131-12,gambiae,1.9224,961.2,D2,39,10.26145,-4.36408,9,2015,1
406,D2_11,D2_11,01/07/2015,PRIFONA,CDC,451-1,gambiae,3.0984,1549.2,D2,20,10.49796,-4.46115,7,2015,1
407,D2_12,D2_12,09/07/2015,BOUNOUBA,CDC,022-6,gambiae,6.632,3316,D2,39,10.26145,-4.36408,7,2015,0
408,D2_13,D2_13,14/07/2015,TIEFORA II,CDC,026-12,gambiae,5.954,2977,D2,11,10.66015,-4.51636,7,2015,1
409,D2_1,D2_1,23/07/2014,SAKORA I,CDC,238-2,gambiae,1.94,971.6,D2,29,10.40929,-4.61967,7,2014,0
410,D2_3,D2_3,02/09/2015,YABLE I,CDC,106b-12,gambiae,4.5872,2293.6,D2,4,10.31913,-4.38869,9,2015,1
411,D2_4,D2_4,04/09/2015,SOBARA III,CDC,114-12,gambiae,1.176,588,D2,3,10.25882,-4.41593,9,2015,1
412,D2_5,D2_5,01/09/2014,KANGOUNABA II,CDC,104a-12,gambiae,3.426,1713,D2,1,10.58465,-4.54745,9,2014,1
413,D2_6,D2_6,07/09/2014,SOBARA II,CDC,123a-1,gambiae,1.4,699.2,D2,3,10.25882,-4.41593,9,2014,1
414,D2_7,D2_7,09/09/2014,BOUSSANRA I,CDC,139a-12,gambiae,5.616,2808,D2,26,10.50926,-4.57797,9,2014,0
415,D2_8,D2_8,19/09/2014,BOLOMAKOTE,CDC,195-3,gambiae,3.4696,1734.8,D2,9,10.20378,-4.39405,9,2014,1
416,D3_10,D3_10,10/09/2015,BOUNOUBA,CDC,131-20,gambiae,2.2316,1115.8,D3,39,10.26145,-4.36408,9,2015,1
417,D3_11,D3_11,01/07/2015,BAMAKO,CDC,017-7,gambiae,5.9852,2992.6,D3,20,10.49796,-4.46115,7,2015,1
418,D3_12,D3_12,09/07/2015,BOUNOUBA,CDC,608-1,gambiae,10.4224,5211.2,D3,39,10.26145,-4.36408,7,2015,0
419,D3_13,D3_13,14/07/2015,TIEFORA II,CDC,027-8,gambiae,4.2524,2126.2,D3,11,10.66015,-4.51636,7,2015,1
420,D3_1,D3_1,23/07/2014,SISRANKA,CDC,242-1,gambiae,2.84,1422,D3,29,10.40929,-4.61967,7,2014,0
421,D3_2,D3_2,02/11/2015,KANKOUNABA II,CDC,302-20,gambiae,3.03,1514.6,D3,1,10.58465,-4.54745,11,2015,1
422,D3_3,D3_3,02/09/2015,BAMAKO,CDC,107b-8,gambiae,7.412,3706,D3,20,10.49796,-4.46115,9,2015,1
423,D3_4,D3_4,04/09/2015,SOBARA III,CDC,116-2,gambiae,3.2832,1641.6,D3,3,10.25882,-4.41593,9,2015,1
424,D3_5,D3_5,01/09/2014,KANGOUNABA II,CDC,105-7,gambiae,3.8232,1911.6,D3,1,10.58465,-4.54745,9,2014,1
425,D3_6,D3_6,07/09/2014,SOBARA II,CDC,123a-9,gambiae,1.29,645.6,D3,3,10.25882,-4.41593,9,2014,1
426,D3_7,D3_7,09/09/2014,BOUSSANRA I,CDC,139a-20,gambiae,2.1328,1066.4,D3,26,10.50926,-4.57797,9,2014,0
427,D3_8,D3_8,19/09/2014,BOLOMAKOTE,CDC,195-11,gambiae,2.5652,1282.6,D3,9,10.20378,-4.39405,9,2014,1
428,D3_9,D3_9,05/11/2014,NATIERA,CDC,357-11,gambiae,4.6308,2315.4,D3,10,10.69726,-4.44495,11,2014,1
429,D4_10,D4_10,11/09/2015,DANDOUGOU,CDC,133-3,gambiae,2.3664,1183.2,D4,2,10.10211,-4.3382,9,2015,1
430,D4_11,D4_11,01/07/2015,BAMAKO,CDC,017-15,gambiae,4.1888,2094.4,D4,20,10.49796,-4.46115,7,2015,1
431,D4_14,D4_14,10/09/2015,BOLOMAKOTE,CDC,157-28,gambiae,3.238,1619,D4,9,10.20378,-4.39405,9,2015,1
432,D4_1,D4_1,25/07/2014,KOFING,CDC,51a-7,gambiae,3.24,1621.2,D4,9,10.20378,-4.39405,7,2014,1
