"#(indexStart,indexStop)(firstPos_withData,lastPos_withData)(WinStart,WinStop)",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites,filename,cluster,month,year,pi,treated,timep
"(0,254894)(759,41962931)(0,41962931)",AgamP4_3L,20981465,59922.086707999995,35835.970424,0,0,0,-1.51483,1.1263889999999999,2.588575,0.479879,-0.8132579999999999,254894,37_9_2014,37,9,2014,0.14059165937213117,0,2014_9
"(0,302728)(626,41962377)(0,41962377)",AgamP4_3L,20981188,74035.40069,44346.592433,0,0,0,-1.544382,1.119413,2.5082519999999997,0.503151,-0.867421,302728,37_9_2015,37,9,2015,0.14648989334650248,1,2015_9
"(0,267466)(759,41962635)(0,41962635)",AgamP4_3L,20981317,62879.245538999996,37147.053780999995,0,0,0,-1.542247,1.112689,2.58858,0.47404199999999996,-0.8132579999999999,267466,39_7_2015,39,7,2015,0.13888514346122496,0,2015_7
"(0,290616)(587,41961793)(0,41961793)",AgamP4_3L,20980896,68321.688172,41579.833468,0,0,0,-1.475087,1.1462569999999999,2.5885879999999997,0.488342,-0.8132579999999999,290616,39_9_2014,39,9,2014,0.14307482543287361,0,2014_9
"(0,86491)(578,41961370)(0,41961370)",AgamP4_3L,20980685,20331.728544999998,11679.626244,0,0,0,-1.603694,1.081894,2.5883689999999997,0.460947,-0.8132469999999999,86491,39_9_2015,39,9,2015,0.13503863111768855,1,2015_9
"(0,400779)(364,41962614)(0,41962614)",AgamP4_3L,20981307,95383.510526,62122.416953,0,0,0,-1.3229389999999999,1.223605,2.562562,0.530054,-0.829684,400779,4_7_2015,4,7,2015,0.1550041717580013,1,2015_7
"(0,184242)(688,41962338)(0,41962338)",AgamP4_3L,20981169,45057.129421,27683.133302,0,0,0,-1.485029,1.1481919999999999,2.508203,0.5160939999999999,-0.867417,184242,4_9_2014,4,9,2014,0.15025419449419783,1,2014_9
"(0,203361)(327,41962728)(0,41962728)",AgamP4_3L,20981364,54453.804043,38970.595249,0,0,0,-1.155074,1.318965,2.358756,0.670144,-1.008067,203361,4_9_2015,4,9,2015,0.19163259056062862,1,2015_9
"(0,275178)(743,41962570)(0,41962570)",AgamP4_3L,20981285,65490.836309,41118.725301,0,0,0,-1.411848,1.179564,2.5625329999999997,0.51098,-0.829683,275178,9_11_2014,9,11,2014,0.14942591813662429,1,2014_11
"(0,139437)(721,41958207)(0,41958207)",AgamP4_3L,20979103,32778.697335,20220.430492,0,0,0,-1.443836,1.161833,2.5884869999999998,0.49499099999999996,-0.813253,139437,9_7_2014,9,7,2014,0.14501481308404512,1,2014_7
"(0,739539)(462,41962748)(0,41962748)",AgamP4_3L,20981374,190033.597584,133735.89685,0,0,0,-1.1738469999999999,1.304238,2.420995,0.626823,-0.94116,739539,9_7_2015,9,7,2015,0.18083684139714062,1,2015_7
"(0,135027)(1458,41959140)(0,41959140)",AgamP4_3L,20979570,31742.570267,18662.340858,0,0,0,-1.552934,1.107308,2.588481,0.471761,-0.813253,135027,9_9_2014,9,9,2014,0.13821191952720566,1,2014_9
"(0,189081)(571,41961898)(0,41961898)",AgamP4_3L,20980949,44449.587135999995,25657.031918,0,0,0,-1.593311,1.087152,2.588538,0.463167,-0.813256,189081,9_9_2015,9,9,2015,0.13569333734219727,1,2015_9
